,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
6,Abdul Razzaq,17.0,8,4,0,212.5,notOut,notOut,notOut,notOut,2006-08-28,Pakistan,Pakistan,0,County Ground
2,Abdul Razzaq,5.0,8,0,0,62.5,DL Vettori,['PD McGlashan'],caught,Abdul Razzaq,2009-06-13,Pakistan,Pakistan,0,Kennington Oval
5,Abdul Razzaq,15.0,9,0,1,166.66666666666669,notOut,notOut,notOut,notOut,2009-06-15,Pakistan,Pakistan,0,Kennington Oval
5,Abdul Razzaq,12.0,15,0,0,80.0,notOut,notOut,notOut,notOut,2009-06-18,South Africa,Pakistan,0,Trent Bridge
5,Abdul Razzaq,25.0,17,3,0,147.05882352941177,notOut,notOut,notOut,notOut,2009-08-12,Pakistan,Pakistan,0,R Premadasa Stadium
6,Abdul Razzaq,26.0,15,3,1,173.33333333333334,notOut,notOut,notOut,notOut,2009-11-12,Pakistan,Pakistan,0,Dubai International Cricket Stadium
5,Abdul Razzaq,0.0,1,0,0,0.0,JEC Franklin,['BJ Watling'],caught,Abdul Razzaq,2009-11-13,Pakistan,Pakistan,0,Dubai International Cricket Stadium
6,Abdul Razzaq,22.0,15,1,1,146.66666666666666,TT Bresnan,['SCJ Broad'],caught,Abdul Razzaq,2010-02-19,Pakistan,England,0,Dubai International Cricket Stadium
6,Abdul Razzaq,46.0,18,0,5,255.55555555555554,notOut,notOut,notOut,notOut,2010-02-20,Pakistan,Pakistan,0,Dubai International Cricket Stadium
4,Abdul Razzaq,6.0,5,0,0,120.0,notOut,notOut,notOut,notOut,2010-05-01,Pakistan,Pakistan,0,"Beausejour Stadium, Gros Islet"
6,Abdul Razzaq,1.0,2,0,0,50.0,DP Nannes,['DA Warner'],caught,Abdul Razzaq,2010-05-02,Pakistan,Australia,0,"Beausejour Stadium, Gros Islet"
6,Abdul Razzaq,10.0,12,0,1,83.33333333333334,RJ Sidebottom,['TT Bresnan'],caught,Abdul Razzaq,2010-05-06,Pakistan,England,0,"Kensington Oval, Bridgetown"
6,Abdul Razzaq,29.0,31,1,3,93.54838709677419,NL McCullum,['LRPL Taylor'],caught,Abdul Razzaq,2010-05-08,Pakistan,New Zealand,0,"Kensington Oval, Bridgetown"
6,Abdul Razzaq,11.0,10,0,0,110.00000000000001,notOut,notOut,notOut,notOut,2010-05-10,South Africa,Pakistan,0,"Beausejour Stadium, Gros Islet"
5,Abdul Razzaq,12.0,10,0,1,120.0,SW Tait,"['BJ Haddin', 'SW Tait']",run out,Abdul Razzaq,2010-05-14,Pakistan,Australia,0,"Beausejour Stadium, Gros Islet"
7,Abdul Razzaq,7.0,11,0,0,63.63636363636363,SW Tait,0,bowled,Abdul Razzaq,2010-07-05,Pakistan,Pakistan,0,Edgbaston
7,Abdul Razzaq,3.0,3,0,0,100.0,notOut,notOut,notOut,notOut,2010-07-06,Pakistan,Pakistan,0,Edgbaston
6,Abdul Razzaq,11.0,21,1,0,52.38095238095239,RJ Sidebottom,['MH Yardy'],caught,Abdul Razzaq,2010-09-07,Pakistan,England,0,Sophia Gardens
6,Abdul Razzaq,4.0,6,0,0,66.66666666666666,J Botha,0,bowled,Abdul Razzaq,2010-10-26,South Africa,South Africa,0,Sheikh Zayed Stadium
7,Abdul Razzaq,25.0,31,0,2,80.64516129032258,JA Morkel,['J Theron'],caught,Abdul Razzaq,2010-10-27,South Africa,South Africa,0,Sheikh Zayed Stadium
5,Abdul Razzaq,1.0,5,0,0,20.0,TG Southee,['PD McGlashan'],caught,Abdul Razzaq,2010-12-26,Pakistan,New Zealand,0,Eden Park
7,Abdul Razzaq,14.0,8,0,2,175.0,NL McCullum,['PD McGlashan'],caught,Abdul Razzaq,2010-12-28,Pakistan,New Zealand,0,Seddon Park
6,Abdul Razzaq,34.0,11,3,3,309.09090909090907,notOut,notOut,notOut,notOut,2010-12-30,Pakistan,Pakistan,0,AMI Stadium
5,Abdul Razzaq,2.0,2,0,0,100.0,notOut,notOut,notOut,notOut,2012-09-07,Pakistan,0,tie,Dubai International Cricket Stadium
6,Abdul Razzaq,13.0,29,1,0,44.827586206896555,GJ Maxwell,"['GB Hogg', 'MS Wade']",run out,Umar Gul,2012-09-10,Pakistan,Australia,0,Dubai International Cricket Stadium
7,Abdul Razzaq,13.0,29,1,0,44.827586206896555,PJ Cummins,['DJ Hussey (sub)'],caught,Abdul Razzaq,2012-09-10,Pakistan,Australia,0,Dubai International Cricket Stadium
5,Abdul Razzaq,22.0,18,2,1,122.22222222222223,PJ Cummins,['SR Watson'],caught,Abdul Razzaq,2012-10-02,Pakistan,Pakistan,0,R Premadasa Stadium
6,Abdul Razzaq,10.0,17,1,0,58.82352941176471,R McLaren,['DA Miller'],caught,Abdul Razzaq,2013-11-13,South Africa,South Africa,0,Dubai International Cricket Stadium
6,Abdul Razzaq,0.0,1,0,0,0.0,Imran Tahir,0,bowled,Abdul Razzaq,2013-11-15,South Africa,South Africa,0,Dubai International Cricket Stadium
7,Abdur Rehman,2.0,3,0,0,66.66666666666666,IG Butler,['MJ Guptill'],caught,Abdur Rehman,2010-05-08,Pakistan,New Zealand,0,"Kensington Oval, Bridgetown"
8,Abdur Rehman,2.0,1,0,0,200.0,notOut,notOut,notOut,notOut,2010-05-10,South Africa,Pakistan,0,"Beausejour Stadium, Gros Islet"
7,Abdur Rehman,7.0,8,0,0,87.5,D Bishoo,0,bowled,Abdur Rehman,2011-04-21,Pakistan,West Indies,0,"Beausejour Stadium, Gros Islet"
8,Abdur Rehman,7.0,12,0,0,58.333333333333336,DW Steyn,['Q de Kock'],run out,Umar Akmal,2013-11-13,South Africa,South Africa,0,Dubai International Cricket Stadium
1,Ahmed Shehzad,4.0,14,1,0,28.57142857142857,B Lee,['B Laughlin (sub)'],caught,Ahmed Shehzad,2009-05-07,Pakistan,Pakistan,0,Dubai International Cricket Stadium
0,Ahmed Shehzad,4.0,8,0,0,50.0,AD Mascarenhas,['PD Collingwood'],caught,Ahmed Shehzad,2009-06-07,Pakistan,England,0,Kennington Oval
2,Ahmed Shehzad,14.0,7,2,1,200.0,TG Southee,['PD McGlashan'],caught,Ahmed Shehzad,2010-12-26,Pakistan,New Zealand,0,Eden Park
2,Ahmed Shehzad,15.0,14,2,0,107.14285714285714,IG Butler,['SB Styris'],caught,Ahmed Shehzad,2010-12-28,Pakistan,New Zealand,0,Seddon Park
0,Ahmed Shehzad,54.0,34,10,0,158.8235294117647,JEC Franklin,0,lbw,Ahmed Shehzad,2010-12-30,Pakistan,Pakistan,0,AMI Stadium
0,Ahmed Shehzad,12.0,15,2,0,80.0,R Rampaul,['CD Barnwell'],caught,Ahmed Shehzad,2011-04-21,Pakistan,West Indies,0,"Beausejour Stadium, Gros Islet"
3,Ahmed Shehzad,36.0,45,3,1,80.0,SMSM Senanayake,"['TM Dilshan', 'KC Sangakkara']",run out,Sohail Tanvir,2012-06-01,Pakistan,Sri Lanka,0,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
4,Ahmed Shehzad,36.0,45,3,1,80.0,SMSM Senanayake,0,bowled,Ahmed Shehzad,2012-06-01,Pakistan,Sri Lanka,0,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2,Ahmed Shehzad,6.0,6,1,0,100.0,KMDN Kulasekara,0,lbw,Ahmed Shehzad,2012-06-03,Pakistan,Pakistan,0,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
1,Ahmed Shehzad,5.0,7,1,0,71.42857142857143,B Kumar,['MS Dhoni'],caught,Ahmed Shehzad,2012-12-25,Pakistan,Pakistan,0,M Chinnaswamy Stadium
1,Ahmed Shehzad,31.0,29,3,1,106.89655172413792,Yuvraj Singh,['MS Dhoni'],stumped,Ahmed Shehzad,2012-12-28,Pakistan,India,0,"Sardar Patel Stadium, Motera"
1,Ahmed Shehzad,46.0,26,6,2,176.9230769230769,JL Ontong,"['CH Morris', 'JL Ontong']",run out,Ahmed Shehzad,2013-03-03,Pakistan,Pakistan,0,SuperSport Park
1,Ahmed Shehzad,3.0,6,0,0,50.0,S Badree,['KA Pollard'],caught,Ahmed Shehzad,2013-07-27,Pakistan,Pakistan,0,"Arnos Vale Ground, Kingstown"
0,Ahmed Shehzad,44.0,47,4,2,93.61702127659575,KA Pollard,['LMP Simmons'],caught,Ahmed Shehzad,2013-07-28,Pakistan,Pakistan,0,"Arnos Vale Ground, Kingstown"
0,Ahmed Shehzad,70.0,51,6,1,137.2549019607843,SW Masakadza,['MN Waller'],caught,Ahmed Shehzad,2013-08-23,Pakistan,Pakistan,0,Harare Sports Club
