,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
5,AM Ellis,2.0,2,0,0,100.0,notOut,notOut,notOut,notOut,2012-02-14,Zimbabwe,New Zealand,0,Seddon Park
8,AM Ellis,1.0,3,0,0,33.33333333333333,SP Narine,['DJ Bravo'],caught,AM Ellis,2012-07-01,West Indies,West Indies,0,Central Broward Regional Park Stadium Turf Ground
6,AM Ellis,16.0,10,1,1,160.0,A Dananjaya,['HDRL Thirimanne'],caught,AM Ellis,2012-10-30,New Zealand,0,0,Pallekele International Cricket Stadium
7,AM Ellis,4.0,5,0,0,80.0,ST Finn,['LJ Wright'],caught,AM Ellis,2013-02-09,England,England,0,Eden Park
8,AM Ellis,2.0,1,0,0,200.0,notOut,notOut,notOut,notOut,2013-11-21,New Zealand,Sri Lanka,0,Pallekele International Cricket Stadium
2,AM Peterson,1.0,3,0,0,33.33333333333333,JL Jonassen,0,bowled,AM Peterson,2017-02-17,New Zealand,Australia,0,Melbourne Cricket Ground
6,AM Peterson,9.0,8,1,0,112.5,M Strano,['AJ Blackwell'],caught,AM Peterson,2017-02-19,New Zealand,New Zealand,0,"Simonds Stadium, South Geelong"
4,AM Peterson,15.0,21,1,0,71.42857142857143,M Strano,"['MM Lanning', 'M Strano']",run out,AM Peterson,2017-02-22,New Zealand,New Zealand,0,Adelaide Oval
0,AP Devcich,59.0,32,10,1,184.375,Abdur Razzak,['Shamsur Rahman'],caught,AP Devcich,2013-11-06,New Zealand,New Zealand,0,Shere Bangla National Stadium
1,AP Devcich,30.0,23,4,1,130.43478260869566,BAW Mendis,['KMDN Kulasekara'],caught,AP Devcich,2013-11-21,New Zealand,Sri Lanka,0,Pallekele International Cricket Stadium
2,AP Devcich,1.0,5,0,0,20.0,Sohail Tanvir,0,lbw,AP Devcich,2014-12-04,Pakistan,Pakistan,0,Dubai International Cricket Stadium
0,AP Devcich,21.0,21,3,0,100.0,Mohammad Hafeez,0,bowled,AP Devcich,2014-12-05,Pakistan,New Zealand,0,Dubai International Cricket Stadium
7,AR Adams,7.0,7,1,0,100.0,A Symonds,['GD McGrath'],run out,AR Adams,2005-02-17,Australia,Australia,0,Eden Park
7,AR Adams,6.0,5,0,0,120.0,notOut,notOut,notOut,notOut,2006-12-22,Sri Lanka,Sri Lanka,0,Westpac Stadium
0,BB McCullum,36.0,25,5,1,144.0,MS Kasprowicz,['RT Ponting'],caught,BB McCullum,2005-02-17,Australia,Australia,0,Eden Park
6,BB McCullum,17.0,9,1,1,188.88888888888889,notOut,notOut,notOut,notOut,2005-10-21,New Zealand,New Zealand,0,New Wanderers Stadium
7,BB McCullum,4.0,10,0,0,40.0,DR Smith,0,bowled,BB McCullum,2006-02-16,West Indies,0,0,Eden Park
0,BB McCullum,39.0,22,2,4,177.27272727272728,M Muralitharan,['WU Tharanga'],caught,BB McCullum,2006-12-22,Sri Lanka,Sri Lanka,0,Westpac Stadium
0,BB McCullum,28.0,30,6,0,93.33333333333333,notOut,notOut,notOut,notOut,2006-12-26,Sri Lanka,New Zealand,0,Eden Park
1,BB McCullum,16.0,14,1,1,114.28571428571428,notOut,notOut,notOut,notOut,2007-09-12,New Zealand,New Zealand,0,Kingsmead
1,BB McCullum,10.0,12,0,0,83.33333333333334,CRD Fernando,['SL Malinga'],caught,BB McCullum,2007-09-15,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
1,BB McCullum,45.0,32,9,0,140.625,Harbhajan Singh,['G Gambhir'],caught,BB McCullum,2007-09-16,New Zealand,New Zealand,0,New Wanderers Stadium
1,BB McCullum,4.0,5,1,0,80.0,JM Anderson,['VS Solanki'],caught,BB McCullum,2007-09-18,New Zealand,New Zealand,0,Kingsmead
1,BB McCullum,38.0,27,3,2,140.74074074074073,M Morkel,['MV Boucher'],caught,BB McCullum,2007-09-19,New Zealand,South Africa,0,Kingsmead
1,BB McCullum,26.0,28,2,0,92.85714285714286,Shahid Afridi,0,lbw,BB McCullum,2007-09-22,Pakistan,Pakistan,0,Newlands
1,BB McCullum,9.0,9,0,1,100.0,SM Pollock,['JP Duminy'],caught,BB McCullum,2007-11-23,New Zealand,South Africa,0,New Wanderers Stadium
1,BB McCullum,13.0,17,0,1,76.47058823529412,B Lee,['AC Gilchrist'],caught,BB McCullum,2007-12-11,New Zealand,Australia,0,Western Australia Cricket Association Ground
1,BB McCullum,9.0,8,0,1,112.5,RJ Sidebottom,['OA Shah'],caught,BB McCullum,2008-02-05,England,England,0,Eden Park
1,BB McCullum,5.0,9,0,0,55.55555555555556,RJ Sidebottom,0,bowled,BB McCullum,2008-02-07,England,England,0,Jade Stadium
1,BB McCullum,24.0,23,1,1,104.34782608695652,LJ Wright,0,bowled,BB McCullum,2008-06-13,New Zealand,England,0,Old Trafford
1,BB McCullum,14.0,12,3,0,116.66666666666667,LS Baker,['SJ Benn'],caught,BB McCullum,2008-12-26,West Indies,0,tie,Eden Park
1,BB McCullum,59.0,36,6,4,163.88888888888889,CH Gayle,['S Chanderpaul'],caught,BB McCullum,2008-12-28,West Indies,New Zealand,0,Seddon Park
0,BB McCullum,61.0,48,5,2,127.08333333333333,BW Hilfenhaus,['AC Voges'],caught,BB McCullum,2009-02-15,New Zealand,Australia,0,Sydney Cricket Ground
1,BB McCullum,56.0,52,2,3,107.6923076923077,notOut,notOut,notOut,notOut,2009-02-25,India,New Zealand,0,AMI Stadium
1,BB McCullum,69.0,58,8,1,118.96551724137932,notOut,notOut,notOut,notOut,2009-02-27,India,New Zealand,0,Westpac Stadium
0,BB McCullum,18.0,8,4,0,225.0,notOut,notOut,notOut,notOut,2009-06-06,Scotland,New Zealand,0,Kennington Oval
0,BB McCullum,57.0,55,6,0,103.63636363636364,RE van der Merwe,['MV Boucher'],stumped,BB McCullum,2009-06-09,South Africa,South Africa,0,Lord's
0,BB McCullum,10.0,14,0,1,71.42857142857143,WK McCallan,['RM West'],caught,BB McCullum,2009-06-11,New Zealand,New Zealand,0,Trent Bridge
0,BB McCullum,12.0,6,2,0,200.0,Abdul Razzaq,['Fawad Alam'],caught,BB McCullum,2009-06-13,Pakistan,Pakistan,0,Kennington Oval
0,BB McCullum,10.0,12,2,0,83.33333333333334,I Udana,['J Mubarak'],caught,BB McCullum,2009-06-16,Sri Lanka,Sri Lanka,0,Trent Bridge
0,BB McCullum,9.0,9,0,1,100.0,notOut,notOut,notOut,notOut,2009-09-02,New Zealand,New Zealand,0,R Premadasa Stadium
0,BB McCullum,49.0,34,4,2,144.11764705882354,ST Jayasuriya,0,caught and bowled,BB McCullum,2009-09-04,New Zealand,New Zealand,0,R Premadasa Stadium
0,BB McCullum,19.0,13,4,0,146.15384615384613,Mohammad Amir,['Fawad Alam'],caught,BB McCullum,2009-11-12,Pakistan,Pakistan,0,Dubai International Cricket Stadium
0,BB McCullum,47.0,42,3,1,111.90476190476191,Saeed Ajmal,['Shoaib Malik'],caught,BB McCullum,2009-11-13,Pakistan,Pakistan,0,Dubai International Cricket Stadium
0,BB McCullum,2.0,4,0,0,50.0,SW Tait,['BJ Haddin'],caught,BB McCullum,2010-02-26,Australia,Australia,0,Westpac Stadium
0,BB McCullum,116.0,57,12,8,203.50877192982458,notOut,notOut,notOut,notOut,2010-02-28,Australia,0,tie,AMI Stadium
0,BB McCullum,0.0,4,0,0,0.0,AD Mathews,['SL Malinga'],caught,BB McCullum,2010-04-30,Sri Lanka,New Zealand,0,Providence Stadium
0,BB McCullum,22.0,28,2,0,78.57142857142857,notOut,notOut,notOut,notOut,2010-05-04,Zimbabwe,New Zealand,0,Providence Stadium
0,BB McCullum,6.0,6,1,0,100.0,CK Langeveldt,['HH Gibbs'],caught,BB McCullum,2010-05-06,South Africa,South Africa,0,"Kensington Oval, Bridgetown"
0,BB McCullum,33.0,31,5,0,106.4516129032258,Abdur Rehman,['Mohammad Sami'],caught,BB McCullum,2010-05-08,Pakistan,New Zealand,0,"Kensington Oval, Bridgetown"
0,BB McCullum,33.0,34,4,0,97.05882352941177,GP Swann,['MJ Lumb'],caught,BB McCullum,2010-05-10,New Zealand,England,0,"Beausejour Stadium, Gros Islet"
0,BB McCullum,18.0,13,2,1,138.46153846153845,KMDN Kulasekara,['AD Mathews'],caught,BB McCullum,2010-05-22,Sri Lanka,New Zealand,0,Central Broward Regional Park Stadium Turf Ground
0,BB McCullum,1.0,8,0,0,12.5,KMDN Kulasekara,0,bowled,BB McCullum,2010-05-23,Sri Lanka,Sri Lanka,0,Central Broward Regional Park Stadium Turf Ground
0,BB McCullum,64.0,38,2,6,168.42105263157893,KM Jarvis,0,bowled,BB McCullum,2011-10-17,New Zealand,New Zealand,0,Harare Sports Club
2,BB McCullum,0.0,2,0,0,0.0,KM Jarvis,['E Chigumbura'],caught,BB McCullum,2012-02-11,Zimbabwe,New Zealand,0,Eden Park
2,BB McCullum,38.0,24,4,1,158.33333333333331,KM Jarvis,['MN Waller'],caught,BB McCullum,2012-02-14,Zimbabwe,New Zealand,0,Seddon Park
2,BB McCullum,16.0,17,0,0,94.11764705882352,JP Duminy,0,bowled,BB McCullum,2012-02-17,South Africa,New Zealand,0,Westpac Stadium
2,BB McCullum,35.0,32,4,1,109.375,J Botha,['JL Ontong'],caught,BB McCullum,2012-02-19,South Africa,South Africa,0,Seddon Park
3,BB McCullum,18.0,20,1,1,90.0,RJ Peterson,['AB de Villiers'],caught,BB McCullum,2012-02-22,South Africa,South Africa,0,Eden Park
3,BB McCullum,91.0,56,11,3,162.5,IK Pathan,0,bowled,BB McCullum,2012-09-11,New Zealand,New Zealand,0,"MA Chidambaram Stadium, Chepauk"
2,BB McCullum,123.0,58,12,7,212.06896551724137,Abdur Razzak,['Tamim Iqbal'],caught,BB McCullum,2012-09-21,New Zealand,New Zealand,0,Pallekele International Cricket Stadium
2,BB McCullum,32.0,33,4,1,96.96969696969697,Mohammad Hafeez,"['Nasir Jamshed', 'Mohammad Hafeez']",run out,KS Williamson,2012-09-23,Pakistan,Pakistan,0,Pallekele International Cricket Stadium
3,BB McCullum,32.0,33,4,1,96.96969696969697,Umar Gul,0,bowled,BB McCullum,2012-09-23,Pakistan,Pakistan,0,Pallekele International Cricket Stadium
2,BB McCullum,25.0,16,0,2,156.25,BAW Mendis,['NLTC Perera'],caught,BB McCullum,2012-09-27,New Zealand,0,tie,Pallekele International Cricket Stadium
2,BB McCullum,10.0,11,2,0,90.9090909090909,ST Finn,['LJ Wright'],caught,BB McCullum,2012-09-29,New Zealand,England,0,Pallekele International Cricket Stadium
2,BB McCullum,22.0,18,3,0,122.22222222222223,S Badree,0,bowled,BB McCullum,2012-10-01,West Indies,0,tie,Pallekele International Cricket Stadium
2,BB McCullum,1.0,11,0,0,9.090909090909092,KMDN Kulasekara,['NLTC Perera'],caught,BB McCullum,2012-10-30,New Zealand,0,0,Pallekele International Cricket Stadium
2,BB McCullum,6.0,11,1,0,54.54545454545454,RK Kleinveldt,['DW Steyn'],caught,BB McCullum,2012-12-21,New Zealand,South Africa,0,Kingsmead
2,BB McCullum,17.0,15,2,0,113.33333333333333,R McLaren,['DA Miller'],caught,BB McCullum,2012-12-23,New Zealand,New Zealand,0,Buffalo Park
2,BB McCullum,25.0,22,3,1,113.63636363636364,AM Phangiso,['JL Ontong'],caught,BB McCullum,2012-12-26,New Zealand,South Africa,0,St George's Park
2,BB McCullum,10.0,6,2,0,166.66666666666669,ST Finn,['EJG Morgan'],caught,BB McCullum,2013-02-09,England,England,0,Eden Park
