,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
2,Afsar Zazai,9.0,22,0,0,40.909090909090914,HA Varaiya,['RR Patel'],caught,Afsar Zazai,2013-10-11,Kenya,Kenya,0,Sharjah Cricket Stadium
8,Aftab Alam,1.0,3,0,0,33.33333333333333,notOut,notOut,notOut,notOut,2012-03-24,Ireland,Ireland,0,Dubai International Cricket Stadium
11,Aftab Alam,0.0,1,0,0,0.0,notOut,notOut,notOut,notOut,2014-03-16,Afghanistan,Bangladesh,0,Shere Bangla National Stadium
10,Amir Hamza,3.0,2,0,0,150.0,notOut,notOut,notOut,notOut,2013-11-24,Kenya,Afghanistan,0,Sharjah Cricket Stadium
10,Amir Hamza,2.0,5,0,0,40.0,notOut,notOut,notOut,notOut,2013-11-30,Ireland,Ireland,0,Sheikh Zayed Stadium
10,Amir Hamza,4.0,2,1,0,200.0,Rohan Mustafa,['SP Patil'],stumped,Amir Hamza,2016-02-19,United Arab Emirates,United Arab Emirates,0,Khan Shaheb Osman Ali Stadium
9,Amir Hamza,3.0,7,0,0,42.857142857142854,notOut,notOut,notOut,notOut,2016-03-20,South Africa,South Africa,0,Wankhede Stadium
10,Amir Hamza,1.0,2,0,0,50.0,notOut,notOut,notOut,notOut,2016-03-23,England,England,0,Feroz Shah Kotla
10,Amir Hamza,21.0,17,1,1,123.52941176470588,KOK Williams,['CAK Walton'],caught,Amir Hamza,2017-06-02,Afghanistan,West Indies,0,"Warner Park, Basseterre"
11,Amir Hamza,6.0,4,1,0,150.0,notOut,notOut,notOut,notOut,2017-06-03,Afghanistan,West Indies,0,"Warner Park, Basseterre"
4,Asghar Stanikzai,30.0,34,0,3,88.23529411764706,P Kumar,['Z Khan'],caught,Asghar Stanikzai,2010-05-01,India,India,0,"Beausejour Stadium, Gros Islet"
4,Asghar Stanikzai,3.0,6,0,0,50.0,CK Langeveldt,['DW Steyn'],caught,Asghar Stanikzai,2010-05-05,South Africa,South Africa,0,"Kensington Oval, Bridgetown"
3,Asghar Stanikzai,6.0,9,0,0,66.66666666666666,Yuvraj Singh,['MS Dhoni'],caught,Asghar Stanikzai,2012-09-19,India,India,0,R Premadasa Stadium
4,Asghar Stanikzai,4.0,11,0,0,36.36363636363637,SCJ Broad,"['JC Buttler', 'SCJ Broad']",run out,Karim Sadiq,2012-09-21,England,England,0,R Premadasa Stadium
5,Asghar Stanikzai,4.0,11,0,0,36.36363636363637,SCJ Broad,['JM Bairstow'],caught,Asghar Stanikzai,2012-09-21,England,England,0,R Premadasa Stadium
3,Asghar Stanikzai,30.0,37,2,1,81.08108108108108,NM Carter,['PL Mommsen'],caught,Asghar Stanikzai,2013-03-03,Scotland,Afghanistan,0,Sharjah Cricket Stadium
