,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
6,AA Obanda,5.0,17,0,0,29.411764705882355,Younis Khan,['Kamran Akmal'],stumped,AA Obanda,2007-09-04,Pakistan,Pakistan,0,Gymkhana Club Ground
7,AA Obanda,4.0,13,0,0,30.76923076923077,DL Vettori,0,bowled,AA Obanda,2007-09-12,New Zealand,New Zealand,0,Kingsmead
6,AA Obanda,21.0,25,2,0,84.0,G Wijekoon,"['ST Jayasuriya', 'G Wijekoon']",run out,DO Obuya,2007-09-14,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
7,AA Obanda,21.0,25,2,0,84.0,TM Dilshan,['KC Sangakkara'],stumped,AA Obanda,2007-09-14,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
4,AA Obanda,0.0,5,0,0,0.0,PC Connell,['WK McCallan'],caught,AA Obanda,2008-08-04,Kenya,Ireland,0,"Civil Service Cricket Club, Stormont"
0,AA Obanda,79.0,49,11,1,161.22448979591837,S Dhaniram,0,lbw,AA Obanda,2010-02-10,Kenya,Kenya,0,Dubai International Cricket Stadium
6,AA Obanda,2.0,3,0,0,66.66666666666666,MC Sorensen,['EC Joyce'],caught,AA Obanda,2012-02-22,Ireland,Ireland,0,Mombasa Sports Club Ground
6,AA Obanda,14.0,10,1,1,140.0,JF Mooney,['MC Sorensen'],run out,NN Odhiambo,2012-02-23,Ireland,Ireland,0,Mombasa Sports Club Ground
6,AA Obanda,3.0,7,0,0,42.857142857142854,JF Mooney,['WTS Porterfield'],caught,AA Obanda,2012-02-24,Ireland,Ireland,0,Mombasa Sports Club Ground
1,AA Obanda,0.0,2,0,0,0.0,WB Rankin,['GC Wilson'],caught,AA Obanda,2012-03-14,Kenya,Ireland,0,Dubai International Cricket Stadium
0,AA Obanda,22.0,16,3,1,137.5,H Osinde,['Hamza Tariq'],caught,AA Obanda,2013-03-15,Kenya,Canada,0,ICC Global Cricket Academy
0,AA Obanda,12.0,15,2,0,80.0,MS Aulakh,['Rizwan Cheema'],caught,AA Obanda,2013-03-16,Kenya,Kenya,0,ICC Global Cricket Academy
0,AA Obanda,47.0,40,7,1,117.5,Ahsan Malik,['TGJ Gruijters'],caught,AA Obanda,2013-04-19,Netherlands,Kenya,0,Wanderers Cricket Ground
0,AA Obanda,28.0,20,4,1,140.0,Mudassar Bukhari,0,bowled,AA Obanda,2013-04-20,Netherlands,Kenya,0,Wanderers Cricket Ground
