bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
Yasir Arafat,4,39,0,2,9.75,2007-09-14,Pakistan,0,0,Kingsmead
Yasir Arafat,2,19,0,0,9.5,2007-09-24,Pakistan,India,0,New Wanderers Stadium
Yasir Arafat,4,42,0,0,10.5,2009-06-07,Pakistan,England,0,Kennington Oval
Yasir Arafat,4,18,0,1,4.5,2010-02-19,Pakistan,England,0,Dubai International Cricket Stadium
Yasir Arafat,4,32,0,3,8.0,2010-02-20,Pakistan,Pakistan,0,Dubai International Cricket Stadium
Yasir Arafat,3,18,0,3,6.0,2012-06-03,Pakistan,Pakistan,0,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
Yasir Arafat,3,30,0,2,10.0,2012-09-10,Pakistan,Australia,0,Dubai International Cricket Stadium
Yasir Arafat,1,12,0,0,12.0,2012-09-23,Pakistan,Pakistan,0,Pallekele International Cricket Stadium
Yasir Arafat,3,25,0,3,8.333333333333334,2012-09-25,Pakistan,Pakistan,0,Pallekele International Cricket Stadium
Yasir Arafat,3,25,0,2,8.333333333333334,2012-09-28,South Africa,Pakistan,0,R Premadasa Stadium
Yasir Arafat,1,11,0,0,11.0,2012-09-30,Pakistan,India,0,R Premadasa Stadium
Yasir Shah,3,31,0,0,10.333333333333334,2011-09-16,Pakistan,Pakistan,0,Harare Sports Club
Yasir Shah,1,8,0,0,8.0,2011-09-18,Pakistan,Pakistan,0,Harare Sports Club
Younis Khan,3,18,0,3,6.0,2007-09-04,Pakistan,Pakistan,0,Gymkhana Club Ground
Zulfiqar Babar,4,23,0,3,5.75,2013-07-27,Pakistan,Pakistan,0,"Arnos Vale Ground, Kingstown"
Zulfiqar Babar,4,37,0,2,9.25,2013-07-28,Pakistan,Pakistan,0,"Arnos Vale Ground, Kingstown"
Zulfiqar Babar,4,21,1,2,5.25,2013-08-24,Pakistan,Pakistan,0,Harare Sports Club
Zulfiqar Babar,3,27,0,1,9.0,2013-12-08,Pakistan,Pakistan,0,Sharjah Cricket Stadium
Zulfiqar Babar,4,26,0,2,6.5,2014-03-23,Pakistan,Pakistan,0,Shere Bangla National Stadium
Zulfiqar Babar,3,24,0,1,8.0,2014-03-30,Pakistan,Pakistan,0,Shere Bangla National Stadium
Zulfiqar Babar,4,27,0,1,6.75,2014-04-01,West Indies,West Indies,0,Shere Bangla National Stadium
