,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
0,A Poulose,9.0,11,2,0,81.81818181818183,PA van Meekeren,['BN Cooper'],caught,A Poulose,2017-01-15,Oman,Netherlands,0,Sheikh Zayed Stadium
1,A Poulose,0.0,2,0,0,0.0,Nadeem Ahmed,0,bowled,A Poulose,2017-01-16,Oman,Oman,0,Sheikh Zayed Stadium
1,A Poulose,0.0,3,0,0,0.0,MRJ Watt,0,lbw,A Poulose,2017-01-19,Scotland,Scotland,0,Dubai International Cricket Stadium
8,AV Lalcheta,1.0,2,0,0,50.0,Qadeer Ahmed,['Qadeer Ahmed'],run out,AV Lalcheta,2015-11-22,Oman,United Arab Emirates,0,Sheikh Zayed Stadium
7,AV Lalcheta,14.0,10,2,0,140.0,notOut,notOut,notOut,notOut,2015-11-30,Oman,Afghanistan,0,Sheikh Zayed Stadium
8,AV Lalcheta,6.0,3,1,0,200.0,notOut,notOut,notOut,notOut,2016-03-09,Oman,Oman,0,Himachal Pradesh Cricket Association Stadium
9,AV Lalcheta,1.0,5,0,0,20.0,Sabbir Rahman,['Mohammad Mithun'],caught,AV Lalcheta,2016-03-13,Oman,Bangladesh,0,Himachal Pradesh Cricket Association Stadium
6,AV Lalcheta,13.0,13,0,1,100.0,notOut,notOut,notOut,notOut,2017-01-15,Oman,Netherlands,0,Sheikh Zayed Stadium
6,AV Lalcheta,20.0,15,2,1,133.33333333333331,MA Leask,0,bowled,AV Lalcheta,2017-01-19,Scotland,Scotland,0,Dubai International Cricket Stadium
5,AV Lalcheta,16.0,10,1,1,160.0,Samiullah Shenwari,['Nawroz Mangal'],caught,AV Lalcheta,2017-01-20,Oman,Afghanistan,0,Dubai International Cricket Stadium
5,Aamir Kaleem,10.0,15,1,0,66.66666666666666,Mirwais Ashraf,['Mohammad Nabi'],caught,Aamir Kaleem,2015-07-25,Oman,Afghanistan,0,Clontarf Cricket Club Ground
4,Aamir Kaleem,42.0,34,4,1,123.52941176470588,notOut,notOut,notOut,notOut,2015-11-25,Oman,Oman,0,Sheikh Zayed Stadium
5,Aamir Kaleem,46.0,37,5,1,124.32432432432432,notOut,notOut,notOut,notOut,2015-11-26,Oman,Hong Kong,0,Sheikh Zayed Stadium
5,Aamir Kaleem,8.0,6,1,0,133.33333333333331,Sayed Shirzad,['Mohammad Shahzad'],caught,Aamir Kaleem,2015-11-30,Oman,Afghanistan,0,Sheikh Zayed Stadium
4,Aamir Kaleem,19.0,12,1,1,158.33333333333331,MS Chapman,0,bowled,Aamir Kaleem,2016-02-19,Oman,Oman,0,Khan Shaheb Osman Ali Stadium
3,Aamir Kaleem,13.0,17,0,0,76.47058823529412,Dawlat Zadran,['Rashid Khan'],caught,Aamir Kaleem,2016-02-20,Oman,Afghanistan,0,Khan Shaheb Osman Ali Stadium
4,Aamir Kaleem,12.0,12,2,0,100.0,Qadeer Ahmed,['Ahmed Raza'],caught,Aamir Kaleem,2016-02-22,United Arab Emirates,United Arab Emirates,0,Shere Bangla National Stadium
5,Aamir Kaleem,0.0,2,0,0,0.0,AR McBrine,0,lbw,Aamir Kaleem,2016-03-09,Oman,Oman,0,Himachal Pradesh Cricket Association Stadium
4,Aamir Kaleem,0.0,3,0,0,0.0,Shakib Al Hasan,['Mushfiqur Rahim'],caught,Aamir Kaleem,2016-03-13,Oman,Bangladesh,0,Himachal Pradesh Cricket Association Stadium
1,Aaqib Sulehri,12.0,14,1,0,85.71428571428571,Aizaz Khan,['C Carter'],caught,Aaqib Sulehri,2015-11-21,Oman,Oman,0,Sheikh Zayed Stadium
1,Aaqib Sulehri,16.0,15,3,0,106.66666666666667,Rohan Mustafa,['SP Patil'],stumped,Aaqib Sulehri,2015-11-22,Oman,United Arab Emirates,0,Sheikh Zayed Stadium
2,Aaqib Sulehri,0.0,1,0,0,0.0,Haseeb Amjad,0,retired hurt,Aaqib Sulehri,2015-11-26,Oman,Hong Kong,0,Sheikh Zayed Stadium
1,Aaqib Sulehri,3.0,8,0,0,37.5,Sayed Shirzad,['Shafiqullah'],caught,Aaqib Sulehri,2015-11-30,Oman,Afghanistan,0,Sheikh Zayed Stadium
2,Aaqib Sulehri,4.0,3,1,0,133.33333333333331,Qadeer Ahmed,['Rohan Mustafa'],caught,Aaqib Sulehri,2016-02-22,United Arab Emirates,United Arab Emirates,0,Shere Bangla National Stadium
