,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
11,AM Guruge,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2014-03-17,United Arab Emirates,Netherlands,0,Sylhet Stadium
10,AM Guruge,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2014-03-21,Zimbabwe,Zimbabwe,0,Sylhet Stadium
11,AM Guruge,1.0,6,0,0,16.666666666666664,SM Sharif,['RD Berrington'],run out,AM Guruge,2015-07-09,United Arab Emirates,Scotland,0,"Grange Cricket Club Ground, Raeburn Place"
5,Abdul Shakoor,1.0,3,0,0,33.33333333333333,MA Leask,['HG Munsey'],caught,Abdul Shakoor,2015-07-09,United Arab Emirates,Scotland,0,"Grange Cricket Club Ground, Raeburn Place"
4,Abdul Shakoor,20.0,19,2,0,105.26315789473684,notOut,notOut,notOut,notOut,2015-07-10,United Arab Emirates,Afghanistan,0,"Grange Cricket Club Ground, Raeburn Place"
4,Abdul Shakoor,7.0,12,0,0,58.333333333333336,RE van der Merwe,0,bowled,Abdul Shakoor,2015-07-12,United Arab Emirates,Netherlands,0,"Grange Cricket Club Ground, Raeburn Place"
5,Adnan Mufti,7.0,7,0,0,100.0,notOut,notOut,notOut,notOut,2017-04-14,Papua New Guinea,United Arab Emirates,0,Sheikh Zayed Stadium
7,Ahmed Raza,0.0,4,0,0,0.0,SC Williams,"[""N M'shangwe""]",caught,Ahmed Raza,2014-03-21,Zimbabwe,Zimbabwe,0,Sylhet Stadium
8,Ahmed Raza,8.0,15,0,1,53.333333333333336,MJG Rippon,['Sikander Zulfiqar'],caught,Ahmed Raza,2016-02-03,Netherlands,Netherlands,0,ICC Academy
9,Ahmed Raza,9.0,8,0,0,112.5,notOut,notOut,notOut,notOut,2016-02-25,United Arab Emirates,Sri Lanka,0,Shere Bangla National Stadium
9,Ahmed Raza,5.0,14,0,0,35.714285714285715,Shakib Al Hasan,['Nurul Hasan'],stumped,Ahmed Raza,2016-02-26,United Arab Emirates,Bangladesh,0,Shere Bangla National Stadium
9,Ahmed Raza,0.0,1,0,0,0.0,B Kumar,['MS Dhoni'],run out,Shaiman Anwar,2016-03-03,United Arab Emirates,India,0,Shere Bangla National Stadium
9,Ahmed Raza,4.0,7,0,0,57.14285714285714,notOut,notOut,notOut,notOut,2016-12-18,Afghanistan,Afghanistan,0,ICC Academy
8,Ahmed Raza,3.0,2,0,0,150.0,notOut,notOut,notOut,notOut,2017-01-16,Afghanistan,Afghanistan,0,Sheikh Zayed Stadium
7,Ahmed Raza,12.0,24,0,0,50.0,J Mulder,['GH Dockrell'],caught,Ahmed Raza,2017-01-18,Ireland,Ireland,0,Dubai International Cricket Stadium
0,Amjad Ali,5.0,7,1,0,71.42857142857143,T van der Gugten,0,bowled,Amjad Ali,2014-03-17,United Arab Emirates,Netherlands,0,Sylhet Stadium
0,Amjad Ali,20.0,19,4,0,105.26315789473684,PR Stirling,['GH Dockrell'],caught,Amjad Ali,2014-03-19,United Arab Emirates,Ireland,0,Sylhet Stadium
5,Amjad Ali,1.0,4,0,0,25.0,SC Williams,0,lbw,Amjad Ali,2014-03-21,Zimbabwe,Zimbabwe,0,Sylhet Stadium
1,Amjad Ali,14.0,23,1,0,60.86956521739131,MRJ Watt,['HG Munsey'],caught,Amjad Ali,2015-07-09,United Arab Emirates,Scotland,0,"Grange Cricket Club Ground, Raeburn Place"
4,Amjad Ali,2.0,2,0,0,100.0,notOut,notOut,notOut,notOut,2015-11-22,Oman,United Arab Emirates,0,Sheikh Zayed Stadium
0,Amjad Gul,24.0,22,3,1,109.09090909090908,AV Lalcheta,0,bowled,Amjad Gul,2015-11-22,Oman,United Arab Emirates,0,Sheikh Zayed Stadium
5,Amjad Gul,2.0,4,0,0,50.0,Fareed Ahmad,['Karim Janat'],caught,Amjad Gul,2016-12-14,Afghanistan,Afghanistan,0,ICC Academy
6,Amjad Gul,2.0,6,0,0,33.33333333333333,Fareed Ahmad,['Mohammad Nabi'],caught,Amjad Gul,2016-12-18,Afghanistan,Afghanistan,0,ICC Academy
6,Amjad Javed,2.0,2,0,0,100.0,Ahsan Malik,['PM Seelaar'],caught,Amjad Javed,2014-03-17,United Arab Emirates,Netherlands,0,Sylhet Stadium
5,Amjad Javed,19.0,21,3,0,90.47619047619048,KJ O'Brien,['EC Joyce'],caught,Amjad Javed,2014-03-19,United Arab Emirates,Ireland,0,Sylhet Stadium
6,Amjad Javed,8.0,10,0,0,80.0,Sikandar Raza,['T Panyangara'],caught,Amjad Javed,2014-03-21,Zimbabwe,Zimbabwe,0,Sylhet Stadium
