,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
4,A Bagai,14,18,0,0,77.77777777777779,PM Seelaar,0,bowled,A Bagai,2010-02-09,Netherlands,Netherlands,0,Dubai International Cricket Stadium
4,A Bagai,36,36,2,0,100.0,LN Onyango,['MA Ouma'],caught,A Bagai,2010-02-10,Kenya,Kenya,0,Dubai International Cricket Stadium
2,A Bagai,67,56,7,0,119.64285714285714,notOut,notOut,notOut,notOut,2013-11-16,Ireland,Ireland,0,Sheikh Zayed Stadium
3,A Bagai,48,47,5,0,102.12765957446808,CO Obuya,['CO Obuya'],run out,AS Dean,2013-11-26,Kenya,Kenya,0,Sharjah Cricket Stadium
4,A Bagai,48,47,5,0,102.12765957446808,DI Allan,['DM Gondaria'],run out,A Bagai,2013-11-26,Kenya,Kenya,0,Sharjah Cricket Stadium
10,AS Dean,1,1,0,0,100.0,notOut,notOut,notOut,notOut,2013-11-26,Kenya,Kenya,0,Sharjah Cricket Stadium
5,AS Hansra,30,32,1,2,93.75,Ahsan Malik,['PW Borren'],caught,AS Hansra,2012-03-13,Netherlands,Netherlands,0,Dubai International Cricket Stadium
4,AS Hansra,6,12,0,0,50.0,Samiullah Shenwari,0,lbw,AS Hansra,2012-03-18,Canada,Afghanistan,0,ICC Global Cricket Academy
3,AS Hansra,1,4,0,0,25.0,GH Dockrell,0,bowled,AS Hansra,2012-03-22,Ireland,Ireland,0,Dubai International Cricket Stadium
5,AS Hansra,8,9,1,0,88.88888888888889,MM Iqbal,0,bowled,AS Hansra,2012-03-23,Scotland,Scotland,0,Dubai International Cricket Stadium
5,AS Hansra,12,11,2,0,109.09090909090908,notOut,notOut,notOut,notOut,2013-03-15,Kenya,Canada,0,ICC Global Cricket Academy
6,AS Hansra,1,2,0,0,50.0,CO Obuya,0,lbw,AS Hansra,2013-03-16,Kenya,Kenya,0,ICC Global Cricket Academy
4,AS Hansra,22,12,0,1,183.33333333333331,notOut,notOut,notOut,notOut,2013-11-16,Ireland,Ireland,0,Sheikh Zayed Stadium
5,AS Hansra,2,4,0,0,50.0,SO Tikolo,['CO Obuya'],caught,AS Hansra,2013-11-26,Kenya,Kenya,0,Sharjah Cricket Stadium
3,GEF Barnett,36,20,6,0,180.0,PM Seelaar,['TN de Grooth'],caught,GEF Barnett,2010-02-09,Netherlands,Netherlands,0,Dubai International Cricket Stadium
3,GEF Barnett,30,29,3,0,103.44827586206897,SO Tikolo,['NN Odhiambo'],caught,GEF Barnett,2010-02-10,Kenya,Kenya,0,Dubai International Cricket Stadium
9,H Osinde,2,5,0,0,40.0,Ahsan Malik,['TLW Cooper'],caught,H Osinde,2012-03-13,Netherlands,Netherlands,0,Dubai International Cricket Stadium
9,H Osinde,17,12,0,2,141.66666666666669,Izatullah Dawlatzai,0,bowled,H Osinde,2012-03-18,Canada,Afghanistan,0,ICC Global Cricket Academy
9,H Osinde,5,4,1,0,125.0,notOut,notOut,notOut,notOut,2012-03-22,Ireland,Ireland,0,Dubai International Cricket Stadium
9,H Osinde,4,6,0,0,66.66666666666666,E Otieno,['RG Aga'],caught,H Osinde,2013-03-16,Kenya,Kenya,0,ICC Global Cricket Academy
2,H Patel,25,25,1,0,100.0,DLS van Bunge,0,caught and bowled,H Patel,2010-02-09,Netherlands,Netherlands,0,Dubai International Cricket Stadium
2,H Patel,4,13,0,0,30.76923076923077,JK Kamande,['SO Tikolo'],caught,H Patel,2010-02-10,Kenya,Kenya,0,Dubai International Cricket Stadium
