,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
6,A Brindle,12.0,18,0,0,66.66666666666666,DP David,['J Goswami'],caught,A Brindle,2011-06-26,India,England,0,County Ground
4,A Brindle,6.0,17,0,0,35.294117647058826,KE Broadmore,0,bowled,A Brindle,2012-02-17,England,England,0,Westpac Stadium
4,A Brindle,4.0,6,0,0,66.66666666666666,MJG Nielsen,['EC Perry'],caught,A Brindle,2012-02-19,England,England,0,Seddon Park
4,A Brindle,10.0,10,0,0,100.0,J Goswami,['S Naik'],run out,A Brindle,2012-06-26,India,England,0,St Lawrence Ground
3,A Brindle,31.0,45,2,0,68.88888888888889,notOut,notOut,notOut,notOut,2012-09-04,Pakistan,England,0,Haslegrave Ground
3,A Brindle,0.0,1,0,0,0.0,Asmavia Iqbal,0,bowled,A Brindle,2012-09-05,Pakistan,England,0,Haslegrave Ground
3,A Brindle,5.0,2,1,0,250.0,notOut,notOut,notOut,notOut,2012-09-08,West Indies,England,0,Riverside Ground
3,A Brindle,42.0,41,1,0,102.4390243902439,notOut,notOut,notOut,notOut,2012-09-10,West Indies,England,0,Old Trafford
5,A Brindle,10.0,7,0,0,142.85714285714286,notOut,notOut,notOut,notOut,2012-09-13,West Indies,England,0,County Ground
4,A Brindle,11.0,9,1,0,122.22222222222223,notOut,notOut,notOut,notOut,2012-09-15,West Indies,England,0,County Ground
4,A Brindle,9.0,11,0,0,81.81818181818183,A Mohammed,['TD Smartt'],caught,A Brindle,2012-09-16,West Indies,West Indies,0,Arundel Castle Cricket Club Ground
5,A Brindle,12.0,10,0,0,120.0,Sana Mir,0,bowled,A Brindle,2012-09-27,Pakistan,England,0,Galle International Stadium
3,A Brindle,15.0,13,1,0,115.38461538461537,EA Perry,['JM Fields'],caught,A Brindle,2012-10-01,England,England,0,Galle International Stadium
4,A Brindle,13.0,12,2,0,108.33333333333333,LC Sthalekar,0,bowled,A Brindle,2012-10-07,England,Australia,0,R Premadasa Stadium
8,A Brindle,39.0,28,3,1,139.28571428571428,Bismah Maroof,['Nahida Khan'],run out,A Brindle,2013-07-05,Pakistan,Pakistan,0,Haslegrave Ground
5,A Brindle,26.0,26,1,0,100.0,notOut,notOut,notOut,notOut,2014-01-31,England,Australia,0,Melbourne Cricket Ground
5,A Brindle,6.0,7,0,0,85.71428571428571,EA Osborne,['MM Lanning'],caught,A Brindle,2014-02-02,England,Australia,0,Stadium Australia
2,A Flintoff,6.0,6,0,0,100.0,MS Kasprowicz,['A Symonds'],caught,A Flintoff,2005-06-13,Australia,England,0,The Rose Bowl
2,A Flintoff,0.0,2,0,0,0.0,SM Harwood,['CL White'],caught,A Flintoff,2007-01-09,England,Australia,0,Sydney Cricket Ground
5,A Flintoff,13.0,14,0,1,92.85714285714286,CJ Chibhabha,0,bowled,A Flintoff,2007-09-13,Zimbabwe,England,0,Newlands
5,A Flintoff,31.0,19,4,1,163.1578947368421,MG Johnson,['SR Clark'],caught,A Flintoff,2007-09-14,England,Australia,0,Newlands
5,A Flintoff,17.0,16,2,0,106.25,JJ van der Wath,0,bowled,A Flintoff,2007-09-16,England,South Africa,0,Newlands
7,A Flintoff,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2007-09-18,New Zealand,New Zealand,0,Kingsmead
6,A Flintoff,8.0,4,1,0,200.0,notOut,notOut,notOut,notOut,2007-09-19,India,India,0,Kingsmead
9,A Khan,2.0,4,0,0,50.0,SJ Benn,0,bowled,A Khan,2009-03-15,England,West Indies,0,"Queen's Park Oval, Port of Spain"
10,A Shahzad,0.0,3,0,0,0.0,notOut,notOut,notOut,notOut,2011-01-12,England,England,0,Adelaide Oval
8,A Shrubsole,1.0,1,0,0,100.0,notOut,notOut,notOut,notOut,2012-09-16,West Indies,West Indies,0,Arundel Castle Cricket Club Ground
10,A Shrubsole,0.0,1,0,0,0.0,Bismah Maroof,['Nain Abidi'],caught,A Shrubsole,2013-07-05,Pakistan,Pakistan,0,Haslegrave Ground
