bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
A Gardner,1,3,0,1,3.0,2017-02-19,New Zealand,New Zealand,0,"Simonds Stadium, South Geelong"
A Gardner,2,13,0,0,6.5,2017-02-22,New Zealand,New Zealand,0,Adelaide Oval
A Symonds,3,33,0,2,11.0,2005-02-17,Australia,Australia,0,Eden Park
A Symonds,3,14,0,2,4.666666666666667,2005-06-13,Australia,England,0,The Rose Bowl
A Symonds,4,26,0,3,6.5,2006-01-09,South Africa,Australia,0,"Brisbane Cricket Ground, Woolloongabba"
A Symonds,4,24,0,2,6.0,2007-01-09,England,Australia,0,Sydney Cricket Ground
A Symonds,2,11,0,0,5.5,2007-09-12,Zimbabwe,Zimbabwe,0,Newlands
A Symonds,2,28,0,0,14.0,2007-09-14,England,Australia,0,Newlands
A Symonds,2,10,0,0,5.0,2007-09-16,Bangladesh,Australia,0,Newlands
A Symonds,2,27,0,0,13.5,2007-09-18,Pakistan,Pakistan,0,New Wanderers Stadium
A Symonds,0,2,0,1,inf,2007-09-20,Sri Lanka,Australia,0,Newlands
A Symonds,3,37,0,0,12.333333333333334,2007-09-22,India,India,0,Kingsmead
A Symonds,3,26,0,0,8.666666666666666,2007-10-20,Australia,India,0,Brabourne Stadium
A Symonds,2,39,0,0,19.5,2007-12-11,New Zealand,Australia,0,Western Australia Cricket Association Ground
A Wellington,4,15,0,3,3.75,2017-02-17,New Zealand,Australia,0,Melbourne Cricket Ground
A Wellington,4,22,0,2,5.5,2017-02-19,New Zealand,New Zealand,0,"Simonds Stadium, South Geelong"
A Wellington,4,16,0,4,4.0,2017-02-22,New Zealand,New Zealand,0,Adelaide Oval
A Zampa,4,26,0,0,6.5,2016-03-04,Australia,South Africa,0,Kingsmead
A Zampa,4,23,0,0,5.75,2016-03-09,Australia,Australia,0,Newlands
A Zampa,1,3,0,0,3.0,2016-03-18,New Zealand,New Zealand,0,Himachal Pradesh Cricket Association Stadium
A Zampa,4,23,0,3,5.75,2016-03-21,Bangladesh,Australia,0,M Chinnaswamy Stadium
A Zampa,4,32,0,2,8.0,2016-03-25,Pakistan,Australia,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
A Zampa,2,11,0,0,5.5,2016-03-27,Australia,India,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
A Zampa,4,27,0,1,6.75,2016-09-06,Australia,Australia,0,Pallekele International Cricket Stadium
A Zampa,4,16,0,3,4.0,2016-09-09,Australia,Australia,0,R Premadasa Stadium
A Zampa,4,26,0,2,6.5,2017-02-17,Sri Lanka,Sri Lanka,0,Melbourne Cricket Ground
A Zampa,4,25,0,3,6.25,2017-02-22,Sri Lanka,Australia,0,Adelaide Oval
AA Noffke,3,18,1,4,6.0,2007-12-11,New Zealand,Australia,0,Western Australia Cricket Association Ground
AA Noffke,4,23,0,1,5.75,2008-02-01,India,Australia,0,Melbourne Cricket Ground
AC Agar,2,25,0,1,12.5,2016-03-06,Australia,Australia,0,New Wanderers Stadium
AC Agar,1,18,0,0,18.0,2016-03-18,New Zealand,New Zealand,0,Himachal Pradesh Cricket Association Stadium
AC Voges,2,5,0,2,2.5,2008-02-01,India,Australia,0,Melbourne Cricket Ground
AJ Finch,1,9,0,0,9.0,2013-01-26,Sri Lanka,Sri Lanka,0,Stadium Australia
AJ Finch,1,18,0,0,18.0,2014-03-23,Pakistan,Pakistan,0,Shere Bangla National Stadium
AJ Turner,2,12,0,2,6.0,2017-02-17,Sri Lanka,Sri Lanka,0,Melbourne Cricket Ground
AJ Turner,2,15,0,1,7.5,2017-02-19,Sri Lanka,Sri Lanka,0,"Simonds Stadium, South Geelong"
AJ Turner,2,15,0,0,7.5,2017-02-22,Sri Lanka,Australia,0,Adelaide Oval
AJ Tye,4,28,0,1,7.0,2016-01-29,India,India,0,Melbourne Cricket Ground
AJ Tye,4,51,0,0,12.75,2016-01-31,India,India,0,Sydney Cricket Ground
AJ Tye,3,40,0,1,13.333333333333334,2016-03-04,Australia,South Africa,0,Kingsmead
AJ Tye,3,32,0,0,10.666666666666666,2017-02-17,Sri Lanka,Sri Lanka,0,Melbourne Cricket Ground
AJ Tye,4,37,0,3,9.25,2017-02-19,Sri Lanka,Sri Lanka,0,"Simonds Stadium, South Geelong"
B Geeves,3,35,0,2,11.666666666666666,2009-03-27,Australia,South Africa,0,New Wanderers Stadium
B Laughlin,4,32,0,1,8.0,2009-03-29,Australia,South Africa,0,SuperSport Park
B Laughlin,3,46,0,0,15.333333333333334,2013-01-26,Sri Lanka,Sri Lanka,0,Stadium Australia
B Laughlin,4,40,0,1,10.0,2013-01-28,Sri Lanka,Sri Lanka,0,Melbourne Cricket Ground
B Lee,4,26,0,1,6.5,2005-02-17,Australia,Australia,0,Eden Park
B Lee,3,31,0,0,10.333333333333334,2005-06-13,Australia,England,0,The Rose Bowl
B Lee,3,15,0,0,5.0,2006-02-24,Australia,South Africa,0,New Wanderers Stadium
B Lee,4,31,0,1,7.75,2007-09-12,Zimbabwe,Zimbabwe,0,Newlands
B Lee,4,31,0,1,7.75,2007-09-14,England,Australia,0,Newlands
B Lee,4,27,0,3,6.75,2007-09-16,Bangladesh,Australia,0,Newlands
B Lee,4,30,0,0,7.5,2007-09-18,Pakistan,Pakistan,0,New Wanderers Stadium
B Lee,4,27,0,2,6.75,2007-09-20,Sri Lanka,Australia,0,Newlands
B Lee,4,25,0,0,6.25,2007-09-22,India,India,0,Kingsmead
B Lee,3,35,0,1,11.666666666666666,2007-10-20,Australia,India,0,Brabourne Stadium
B Lee,4,17,0,2,4.25,2007-12-11,New Zealand,Australia,0,Western Australia Cricket Association Ground
B Lee,3,13,0,2,4.333333333333333,2008-02-01,India,Australia,0,Melbourne Cricket Ground
B Lee,2,26,0,0,13.0,2008-06-20,Australia,West Indies,0,"Kensington Oval, Bridgetown"
B Lee,4,22,0,1,5.5,2009-05-07,Pakistan,Pakistan,0,Dubai International Cricket Stadium
B Lee,4,56,0,1,14.0,2009-06-06,West Indies,West Indies,0,Kennington Oval
B Lee,4,39,0,2,9.75,2009-06-08,Sri Lanka,Sri Lanka,0,Trent Bridge
B Lee,1,3,0,1,3.0,2009-08-30,Australia,0,0,Old Trafford
B Lee,4,41,0,1,10.25,2011-01-12,England,England,0,Adelaide Oval
B Lee,4,29,0,0,7.25,2011-01-14,England,Australia,0,Melbourne Cricket Ground
B Lee,4,38,0,1,9.5,2011-08-06,Australia,Sri Lanka,0,Pallekele International Cricket Stadium
B Lee,4,39,0,3,9.75,2011-08-08,Australia,Sri Lanka,0,Pallekele International Cricket Stadium
B Lee,4,36,0,1,9.0,2012-02-01,India,Australia,0,Stadium Australia
B Lee,4,24,0,0,6.0,2012-02-03,India,India,0,Melbourne Cricket Ground
B Lee,4,30,0,2,7.5,2012-03-27,Australia,Australia,0,"Beausejour Stadium, Gros Islet"
B Lee,3,23,0,4,7.666666666666667,2012-03-30,Australia,West Indies,0,"Kensington Oval, Bridgetown"
B Stanlake,3,42,0,0,14.0,2017-02-17,Sri Lanka,Sri Lanka,0,Melbourne Cricket Ground
BCJ Cutting,3,27,0,0,9.0,2013-01-26,Sri Lanka,Sri Lanka,0,Stadium Australia
BCJ Cutting,4,43,0,1,10.75,2013-02-13,West Indies,West Indies,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,1,11,0,0,11.0,2014-11-05,South Africa,South Africa,0,Adelaide Oval
BJ Hodge,2,20,0,0,10.0,2007-09-12,Zimbabwe,Zimbabwe,0,Newlands
BJ Hodge,2,13,0,1,6.5,2014-03-30,India,India,0,Shere Bangla National Stadium
BW Hilfenhaus,4,16,0,2,4.0,2007-01-09,England,Australia,0,Sydney Cricket Ground
BW Hilfenhaus,4,28,0,1,7.0,2007-10-20,Australia,India,0,Brabourne Stadium
BW Hilfenhaus,3,15,0,2,5.0,2009-01-11,South Africa,Australia,0,Melbourne Cricket Ground
BW Hilfenhaus,4,32,0,1,8.0,2009-01-13,South Africa,Australia,0,"Brisbane Cricket Ground, Woolloongabba"
