,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
7,SP Gauchan,0,1,0,0,0.0,Haseeb Amjad,['Haseeb Amjad'],run out,SP Gauchan,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
8,SP Gauchan,5,25,0,0,20.0,notOut,notOut,notOut,notOut,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
10,SP Gauchan,0,2,0,0,0.0,SR Thompson,['GC Wilson'],caught,SP Gauchan,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
9,SP Gauchan,2,3,0,0,66.66666666666666,Haseeb Amjad,['Haseeb Amjad'],run out,SP Gauchan,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
11,SP Gauchan,6,12,0,0,50.0,notOut,notOut,notOut,notOut,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
0,SP Khakurel,22,17,4,0,129.41176470588235,Nadeem Ahmed,['Aizaz Khan'],caught,SP Khakurel,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
0,SP Khakurel,8,16,0,0,50.0,Farhad Reza,['Abdur Razzak'],caught,SP Khakurel,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
0,SP Khakurel,56,56,6,1,100.0,Shapoor Zadran,['Asghar Stanikzai'],caught,SP Khakurel,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
0,SP Khakurel,2,8,0,0,25.0,Haseeb Amjad,['Aizaz Khan'],caught,SP Khakurel,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
2,SP Khakurel,6,13,0,0,46.15384615384615,MJG Rippon,['MR Swart'],caught,SP Khakurel,2015-07-01,Nepal,Netherlands,0,VRA Ground
1,SP Khakurel,14,27,0,0,51.85185185185185,T van der Gugten,"[""MP O'Dowd""]",run out,Sagar Pun,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
2,SP Khakurel,14,27,0,0,51.85185185185185,PM Seelaar,"[""MP O'Dowd""]",caught,SP Khakurel,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
1,SP Khakurel,2,3,0,0,66.66666666666666,Haseeb Amjad,0,bowled,SP Khakurel,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
1,Sagar Pun,13,13,2,0,100.0,Haseeb Amjad,['Waqas Barkat'],caught,Sagar Pun,2014-03-16,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
1,Sagar Pun,12,20,2,0,60.0,Al-Amin Hossain,['Shakib Al Hasan'],caught,Sagar Pun,2014-03-18,Nepal,Bangladesh,0,Zahur Ahmed Chowdhury Stadium
1,Sagar Pun,8,11,1,0,72.72727272727273,Dawlat Zadran,['Mohammad Nabi'],caught,Sagar Pun,2014-03-20,Nepal,Nepal,0,Zahur Ahmed Chowdhury Stadium
2,Sagar Pun,2,4,0,0,50.0,Tanwir Afzal,['JJ Atkinson'],caught,Sagar Pun,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
0,Sagar Pun,5,9,0,0,55.55555555555556,notOut,notOut,notOut,notOut,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
0,Sagar Pun,20,19,3,0,105.26315789473684,JF Mooney,['SR Thompson'],caught,Sagar Pun,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
0,Sagar Pun,11,12,1,0,91.66666666666666,Irfan Ahmed,['JJ Atkinson'],caught,Sagar Pun,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
0,Sagar Pun,15,12,3,0,125.0,notOut,notOut,notOut,notOut,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
9,Sompal Kami,40,31,6,2,129.03225806451613,Irfan Ahmed,0,bowled,Sompal Kami,2014-11-24,Nepal,Hong Kong,0,P Sara Oval
8,Sompal Kami,14,16,1,0,87.5,Ahsan Malik,['PW Borren'],caught,Sompal Kami,2015-07-01,Nepal,Netherlands,0,VRA Ground
10,Sompal Kami,3,3,0,0,100.0,Ahsan Malik,0,bowled,Sompal Kami,2015-07-02,Nepal,Netherlands,0,Hazelaarweg
9,Sompal Kami,0,5,0,0,0.0,notOut,notOut,notOut,notOut,2015-07-13,Ireland,Ireland,0,"Civil Service Cricket Club, Stormont"
8,Sompal Kami,16,12,0,1,133.33333333333331,Haseeb Amjad,['Irfan Ahmed'],caught,Sompal Kami,2015-07-15,Nepal,Hong Kong,0,"Civil Service Cricket Club, Stormont"
8,Sompal Kami,4,9,0,0,44.44444444444444,A Vala,"['N Vanua', 'JNT Vare']",run out,B Regmi,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
9,Sompal Kami,4,9,0,0,44.44444444444444,JB Reva,['A Vala'],caught,Sompal Kami,2015-07-17,Papua New Guinea,Papua New Guinea,0,"The Village, Malahide"
