bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
A Khaka,2,20,0,2,10.0,2014-10-23,South Africa,Sri Lanka,0,Colts Cricket Club Ground
A Khaka,4,26,0,0,6.5,2015-03-19,South Africa,Pakistan,0,Sharjah Cricket Stadium
A Khaka,1,9,0,0,9.0,2016-02-21,England,England,0,New Wanderers Stadium
A Khaka,3,19,0,0,6.333333333333333,2016-03-18,South Africa,Australia,0,"Vidarbha Cricket Association Stadium, Jamtha"
A Nel,4,19,0,2,4.75,2005-10-21,New Zealand,New Zealand,0,New Wanderers Stadium
A Nel,4,23,0,0,5.75,2007-09-19,New Zealand,South Africa,0,Kingsmead
AJ Hall,4,38,0,0,9.5,2006-01-09,South Africa,Australia,0,"Brisbane Cricket Ground, Woolloongabba"
AJ Hall,4,22,0,3,5.5,2006-02-24,Australia,South Africa,0,New Wanderers Stadium
AL Phehlukwayo,2,23,0,0,11.5,2017-01-20,Sri Lanka,South Africa,0,SuperSport Park
AL Phehlukwayo,2,22,0,0,11.0,2017-01-22,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
AL Phehlukwayo,4,32,0,0,8.0,2017-01-25,Sri Lanka,Sri Lanka,0,Newlands
AL Phehlukwayo,3,19,0,3,6.333333333333333,2017-02-17,South Africa,South Africa,0,Eden Park
AL Phehlukwayo,1,11,0,1,11.0,2017-06-21,South Africa,England,0,The Rose Bowl
AL Phehlukwayo,4,34,0,2,8.5,2017-06-23,South Africa,South Africa,0,County Ground
AL Phehlukwayo,4,44,0,2,11.0,2017-06-25,South Africa,England,0,Sophia Gardens
AM Phangiso,4,42,0,0,10.5,2012-12-23,New Zealand,New Zealand,0,Buffalo Park
AM Phangiso,4,25,0,3,6.25,2012-12-26,New Zealand,South Africa,0,St George's Park
AM Phangiso,3,33,0,1,11.0,2013-11-22,Pakistan,Pakistan,0,Newlands
AM Phangiso,3,33,0,1,11.0,2015-01-11,West Indies,West Indies,0,New Wanderers Stadium
AM Phangiso,4,23,0,1,5.75,2015-01-14,West Indies,South Africa,0,Kingsmead
AM Phangiso,4,21,0,1,5.25,2015-07-05,South Africa,South Africa,0,Shere Bangla National Stadium
AM Phangiso,4,30,0,3,7.5,2015-07-07,South Africa,South Africa,0,Shere Bangla National Stadium
AM Phangiso,4,29,0,2,7.25,2015-08-14,New Zealand,South Africa,0,Kingsmead
AM Phangiso,4,40,0,1,10.0,2015-08-16,New Zealand,New Zealand,0,SuperSport Park
AM Phangiso,4,19,0,1,4.75,2016-03-25,West Indies,West Indies,0,"Vidarbha Cricket Association Stadium, Jamtha"
AM Phangiso,2,24,0,1,12.0,2017-01-20,Sri Lanka,South Africa,0,SuperSport Park
AM Phangiso,4,24,0,0,6.0,2017-01-22,Sri Lanka,Sri Lanka,0,New Wanderers Stadium
APC Kilowan,3,20,1,3,6.666666666666667,2009-10-28,West Indies,West Indies,0,Boland Bank Park
AS Taai,4,9,2,2,2.25,2009-10-28,West Indies,West Indies,0,Boland Bank Park
BE Hendricks,2,31,0,1,15.5,2014-03-12,Australia,Australia,0,Kingsmead
