,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
6,A Flintoff,0,3,0,0,0.0,AB McDonald,['GS Sandhu'],caught,A Flintoff,2014-12-21,Brisbane Heat,Sydney Thunder,0,Stadium Australia
7,A Flintoff,15,11,2,1,136.36363636363635,JW Hastings,"['TIF Triffitt', 'JW Hastings']",run out,A Flintoff,2014-12-28,Melbourne Stars,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
5,A Flintoff,7,9,0,0,77.77777777777779,JP Behrendorff,['SM Whiteman'],caught,A Flintoff,2015-01-08,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
5,A Flintoff,46,32,4,1,143.75,MC Henriques,['SJC Keen'],caught,A Flintoff,2015-01-11,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
6,A Flintoff,3,4,0,0,75.0,notOut,notOut,notOut,notOut,2015-01-13,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
6,A Flintoff,3,2,0,0,150.0,notOut,notOut,notOut,notOut,2015-01-15,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
10,AC McDermott,0,5,0,0,0.0,NJ Rimmington,['Shakib Al Hasan'],caught,AC McDermott,2015-01-13,Brisbane Heat,Melbourne Renegades,0,Docklands Stadium
2,AI Ross,64,37,6,4,172.97297297297297,CJ Jordan,0,bowled,AI Ross,2016-12-21,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
3,AI Ross,11,11,1,1,100.0,PJ Cummins,0,bowled,AI Ross,2016-12-28,Brisbane Heat,Brisbane Heat,0,Sydney Showground Stadium
3,AI Ross,5,8,0,0,62.5,SW Tait,0,bowled,AI Ross,2016-12-30,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
3,AI Ross,6,10,0,0,60.0,J Botha,['NJ Maddinson'],caught,AI Ross,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
3,AI Ross,39,40,2,1,97.5,JA Richardson,['AJ Turner'],caught,AI Ross,2017-01-11,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
3,AI Ross,46,40,4,0,114.99999999999999,notOut,notOut,notOut,notOut,2017-01-17,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
3,AI Ross,16,21,0,0,76.19047619047619,GB Hogg,0,lbw,AI Ross,2017-01-20,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
3,AI Ross,17,28,0,0,60.71428571428571,NM Lyon,['SA Abbott'],caught,AI Ross,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
