,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
7,B Lee,8,7,1,0,114.28571428571428,Naved-ul-Hasan,0,bowled,B Lee,2011-12-21,Sydney Sixers,Hobart Hurricanes,0,Bellerive Oval
8,B Lee,1,1,0,0,100.0,notOut,notOut,notOut,notOut,2011-12-27,Melbourne Stars,Sydney Sixers,0,Sydney Cricket Ground
8,B Lee,6,6,0,0,100.0,notOut,notOut,notOut,notOut,2012-01-08,Sydney Sixers,Sydney Sixers,0,Stadium Australia
9,B Lee,0,2,0,0,0.0,BM Edmondson,['L Ronchi'],run out,SNJ O'Keefe,2012-01-18,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
10,B Lee,0,2,0,0,0.0,BM Edmondson,['SE Marsh'],caught,B Lee,2012-01-18,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
8,B Lee,22,15,0,2,146.66666666666666,notOut,notOut,notOut,notOut,2012-12-16,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
8,B Lee,2,3,0,0,66.66666666666666,notOut,notOut,notOut,notOut,2012-12-23,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
5,B Lee,4,4,1,0,100.0,B Laughlin,['OA Shah'],caught,B Lee,2012-12-26,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
7,B Lee,12,6,2,0,200.0,notOut,notOut,notOut,notOut,2012-12-30,Sydney Sixers,Sydney Sixers,0,Stadium Australia
8,B Lee,0,4,0,0,0.0,DJ Hussey,['GJ Maxwell'],caught,B Lee,2013-12-29,Melbourne Stars,Melbourne Stars,0,Sydney Cricket Ground
8,B Lee,0,2,0,0,0.0,CJ Gannon,['CA Lynn'],caught,B Lee,2014-01-02,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
7,B Lee,13,9,0,1,144.44444444444443,Yasir Arafat,0,bowled,B Lee,2014-01-10,Perth Scorchers,0,tie,Sydney Cricket Ground
7,B Lee,0,1,0,0,0.0,notOut,notOut,notOut,notOut,2014-02-05,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
11,B Lee,7,5,1,0,140.0,notOut,notOut,notOut,notOut,2014-12-29,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
8,B Lee,7,4,1,0,175.0,KW Richardson,['A Zampa'],caught,B Lee,2015-01-14,Adelaide Strikers,Adelaide Strikers,0,Sydney Cricket Ground
6,BJ Dwarshuis,13,11,2,0,118.18181818181819,AJ Tye,0,bowled,BJ Dwarshuis,2016-01-02,Sydney Sixers,Perth Scorchers,0,Western Australia Cricket Association Ground
6,BJ Dwarshuis,13,8,0,1,162.5,BCJ Cutting,['JJ Peirson'],caught,BJ Dwarshuis,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
5,BJ Dwarshuis,13,7,1,1,185.71428571428572,Fawad Ahmed,['CD Hartley'],stumped,BJ Dwarshuis,2016-01-16,Sydney Thunder,Sydney Thunder,0,Sydney Cricket Ground
8,BJ Dwarshuis,3,5,0,0,60.0,HP Kingston,0,bowled,BJ Dwarshuis,2016-12-23,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
8,BJ Dwarshuis,9,14,0,0,64.28571428571429,B Stanlake,['CJ Jordan'],caught,BJ Dwarshuis,2016-12-31,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
8,BJ Dwarshuis,0,2,0,0,0.0,notOut,notOut,notOut,notOut,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
8,BJ Dwarshuis,19,25,0,0,76.0,notOut,notOut,notOut,notOut,2017-01-14,Sydney Thunder,Sydney Thunder,0,Sydney Cricket Ground
8,BJ Dwarshuis,4,1,1,0,400.0,notOut,notOut,notOut,notOut,2017-01-21,Sydney Sixers,Sydney Sixers,0,Melbourne Cricket Ground
8,BJ Dwarshuis,3,2,0,0,150.0,notOut,notOut,notOut,notOut,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
8,BJ Dwarshuis,9,7,1,0,128.57142857142858,TT Bresnan,0,bowled,BJ Dwarshuis,2017-01-28,Sydney Sixers,Perth Scorchers,0,Western Australia Cricket Association Ground
0,BJ Haddin,76,60,5,5,126.66666666666666,DT Christian,['ML Hayden'],caught,BJ Haddin,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
0,BJ Haddin,0,2,0,0,0.0,MA Beer,['L Ronchi'],caught,BJ Haddin,2012-01-18,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
2,BJ Haddin,59,49,3,3,120.40816326530613,SA Abbott,0,bowled,BJ Haddin,2012-12-08,Sydney Thunder,Sydney Sixers,0,Sydney Cricket Ground
2,BJ Haddin,10,8,1,0,125.0,MA Beer,['SE Marsh'],caught,BJ Haddin,2012-12-16,Perth Scorchers,Perth Scorchers,0,Sydney Cricket Ground
2,BJ Haddin,22,30,1,0,73.33333333333333,MJ Johnston,['KA Pollard'],caught,BJ Haddin,2012-12-23,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
1,BJ Haddin,22,17,4,0,129.41176470588235,MG Hogan,0,bowled,BJ Haddin,2012-12-26,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
3,BJ Haddin,18,17,1,1,105.88235294117648,CH Gayle,['SJC Keen'],caught,BJ Haddin,2012-12-30,Sydney Sixers,Sydney Sixers,0,Stadium Australia
0,BJ Haddin,16,11,2,1,145.45454545454547,AC McDermott,0,bowled,BJ Haddin,2013-01-07,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
1,BJ Haddin,72,45,8,2,160.0,DJG Sammy,"['GJ Bailey', 'DJG Sammy']",run out,MC Henriques,2015-12-20,Hobart Hurricanes,Sydney Sixers,0,Sydney Cricket Ground
2,BJ Haddin,72,45,8,2,160.0,CJ Boyce,['DT Christian'],caught,BJ Haddin,2015-12-20,Hobart Hurricanes,Sydney Sixers,0,Sydney Cricket Ground
1,BJ Haddin,0,1,0,0,0.0,CP Tremain,['MS Wade'],caught,BJ Haddin,2015-12-23,Sydney Sixers,Sydney Sixers,0,Docklands Stadium
1,BJ Haddin,2,4,0,0,50.0,GJ Maxwell,['MA Beer'],caught,BJ Haddin,2015-12-27,Melbourne Stars,Melbourne Stars,0,Sydney Cricket Ground
3,BJ Haddin,54,38,2,4,142.10526315789474,notOut,notOut,notOut,notOut,2015-12-31,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
4,BJ Haddin,42,24,5,2,175.0,BCJ Cutting,['MJ Swepson'],caught,BJ Haddin,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
3,BJ Haddin,17,12,2,0,141.66666666666669,CJ Green,['CJ McKay'],caught,BJ Haddin,2016-01-16,Sydney Thunder,Sydney Thunder,0,Sydney Cricket Ground
3,BJ Haddin,10,5,1,0,200.0,HP Kingston,['CA Rose'],caught,BJ Haddin,2016-12-23,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
1,BJ Haddin,7,9,1,0,77.77777777777779,AJ Tye,['JA Richardson'],caught,BJ Haddin,2016-12-27,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
3,BJ Haddin,1,6,0,0,16.666666666666664,B Stanlake,0,hit wicket,BJ Haddin,2016-12-31,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
5,BJ Haddin,32,13,3,2,246.15384615384616,JD Wildermuth,['AJ Doolan (sub)'],caught,BJ Haddin,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
4,BJ Haddin,31,23,3,0,134.7826086956522,notOut,notOut,notOut,notOut,2017-01-09,Melbourne Renegades,Sydney Sixers,0,Sydney Cricket Ground
5,BJ Haddin,4,4,1,0,100.0,CR Brathwaite,['KR Patterson'],caught,BJ Haddin,2017-01-14,Sydney Thunder,Sydney Thunder,0,Sydney Cricket Ground
5,BJ Haddin,10,11,1,0,90.9090909090909,MA Beer,['RJ Quiney'],caught,BJ Haddin,2017-01-21,Sydney Sixers,Sydney Sixers,0,Melbourne Cricket Ground
5,BJ Haddin,7,7,0,0,100.0,MJ Swepson,"['S Badree', 'JJ Peirson']",run out,BJ Haddin,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
4,BJ Haddin,38,25,4,2,152.0,JA Richardson,['M Klinger'],caught,BJ Haddin,2017-01-28,Sydney Sixers,Perth Scorchers,0,Western Australia Cricket Association Ground
5,BJ Rohrer,29,19,2,0,152.63157894736844,CJ McKay,['DJ Hussey'],caught,BJ Rohrer,2011-12-27,Melbourne Stars,Sydney Sixers,0,Sydney Cricket Ground
5,BJ Rohrer,2,2,0,0,100.0,SM Harwood,['DP Nannes'],caught,BJ Rohrer,2012-01-02,Sydney Sixers,Melbourne Renegades,0,Docklands Stadium
4,BJ Rohrer,38,24,4,1,158.33333333333331,CH Gayle,"['LA Doran', 'BR Dunk']",run out,DJ Thornely,2012-01-08,Sydney Sixers,Sydney Sixers,0,Stadium Australia
5,BJ Rohrer,38,24,4,1,158.33333333333331,SA Abbott,['SJ Coyte (2)'],caught,BJ Rohrer,2012-01-08,Sydney Sixers,Sydney Sixers,0,Stadium Australia
