bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
BCJ Cutting,3,31,0,0,10.333333333333334,2015-12-19,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,4,32,0,1,8.0,2015-12-22,Brisbane Heat,Hobart Hurricanes,0,Bellerive Oval
BCJ Cutting,2,12,0,0,6.0,2015-12-26,Brisbane Heat,Perth Scorchers,0,Western Australia Cricket Association Ground
BCJ Cutting,4,29,0,0,7.25,2015-12-29,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,4,37,0,0,9.25,2016-01-03,Sydney Thunder,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,3,37,0,1,12.333333333333334,2016-01-08,Adelaide Strikers,Adelaide Strikers,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,4,41,0,2,10.25,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
BCJ Cutting,2,20,0,0,10.0,2016-01-14,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
BCJ Cutting,4,46,0,2,11.5,2016-12-21,Brisbane Heat,Brisbane Heat,0,Adelaide Oval
BCJ Cutting,4,24,0,1,6.0,2016-12-28,Brisbane Heat,Brisbane Heat,0,Sydney Showground Stadium
BCJ Cutting,4,42,0,3,10.5,2016-12-30,Hobart Hurricanes,Brisbane Heat,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,4,44,0,2,11.0,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,4,34,0,0,8.5,2017-01-05,Brisbane Heat,Brisbane Heat,0,Western Australia Cricket Association Ground
BCJ Cutting,4,40,0,0,10.0,2017-01-11,Perth Scorchers,Perth Scorchers,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,3,38,0,1,12.666666666666666,2017-01-17,Brisbane Heat,Brisbane Heat,0,Melbourne Cricket Ground
BCJ Cutting,4,44,0,1,11.0,2017-01-20,Melbourne Renegades,Melbourne Renegades,0,"Brisbane Cricket Ground, Woolloongabba"
BCJ Cutting,2,14,0,1,7.0,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
CA Lynn,3,14,0,0,4.666666666666667,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
CA Lynn,3,23,0,1,7.666666666666667,2013-01-19,Brisbane Heat,Brisbane Heat,0,Western Australia Cricket Association Ground
CA Lynn,2,15,0,2,7.5,2013-02-04,Brisbane Heat,Brisbane Heat,0,Docklands Stadium
CJ Gannon,4,38,0,0,9.5,2012-12-09,Hobart Hurricanes,Hobart Hurricanes,0,"Brisbane Cricket Ground, Woolloongabba"
