bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,result,venue
SA Abbott,3,38,0,1,12.666666666666666,2015-01-14,Adelaide Strikers,Adelaide Strikers,0,Sydney Cricket Ground
SA Abbott,4,35,0,1,8.75,2015-01-22,Sydney Thunder,Sydney Sixers,0,Sydney Cricket Ground
SA Abbott,2,14,0,2,7.0,2015-01-24,Sydney Sixers,Sydney Sixers,0,Adelaide Oval
SA Abbott,3,26,0,0,8.666666666666666,2015-01-28,Sydney Sixers,Perth Scorchers,0,Manuka Oval
SA Abbott,1,5,0,1,5.0,2015-12-20,Hobart Hurricanes,Sydney Sixers,0,Sydney Cricket Ground
SA Abbott,3,33,0,1,11.0,2015-12-23,Sydney Sixers,Sydney Sixers,0,Docklands Stadium
SA Abbott,4,32,0,1,8.0,2015-12-27,Melbourne Stars,Melbourne Stars,0,Sydney Cricket Ground
SA Abbott,3,57,0,1,19.0,2015-12-31,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
SA Abbott,1,11,0,1,11.0,2016-01-02,Sydney Sixers,Perth Scorchers,0,Western Australia Cricket Association Ground
SA Abbott,2,8,0,4,4.0,2016-01-10,Brisbane Heat,Brisbane Heat,0,Sydney Cricket Ground
SA Abbott,4,41,0,2,10.25,2016-01-16,Sydney Thunder,Sydney Thunder,0,Sydney Cricket Ground
SA Abbott,3,24,0,0,8.0,2016-12-20,Sydney Sixers,Sydney Sixers,0,Sydney Showground Stadium
SA Abbott,4,41,0,2,10.25,2016-12-23,Hobart Hurricanes,Hobart Hurricanes,0,Sydney Cricket Ground
SA Abbott,4,30,0,2,7.5,2016-12-27,Perth Scorchers,Sydney Sixers,0,Sydney Cricket Ground
SA Abbott,4,16,0,5,4.0,2016-12-31,Sydney Sixers,Adelaide Strikers,0,Adelaide Oval
SA Abbott,4,38,0,3,9.5,2017-01-03,Sydney Sixers,Sydney Sixers,0,"Brisbane Cricket Ground, Woolloongabba"
SA Abbott,4,34,0,1,8.5,2017-01-09,Melbourne Renegades,Sydney Sixers,0,Sydney Cricket Ground
SA Abbott,4,36,0,2,9.0,2017-01-14,Sydney Thunder,Sydney Thunder,0,Sydney Cricket Ground
SA Abbott,3,31,0,2,10.333333333333334,2017-01-21,Sydney Sixers,Sydney Sixers,0,Melbourne Cricket Ground
SA Abbott,4,40,0,4,10.0,2017-01-25,Sydney Sixers,0,tie,"Brisbane Cricket Ground, Woolloongabba"
SA Abbott,3,33,0,0,11.0,2017-01-28,Sydney Sixers,Perth Scorchers,0,Western Australia Cricket Association Ground
SCG MacGill,4,21,0,2,5.25,2011-12-16,Brisbane Heat,Sydney Sixers,0,Sydney Cricket Ground
SCG MacGill,2,17,0,0,8.5,2011-12-21,Sydney Sixers,Hobart Hurricanes,0,Bellerive Oval
SCG MacGill,4,36,0,1,9.0,2011-12-27,Melbourne Stars,Sydney Sixers,0,Sydney Cricket Ground
SCG MacGill,3,24,0,0,8.0,2012-01-02,Sydney Sixers,Melbourne Renegades,0,Docklands Stadium
