,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
1,AJ Finch,31,24,4,0,129.16666666666669,AJ Tye,['BAC Howell'],caught,AJ Finch,2016-07-06,Surrey,Gloucestershire,0,County Ground
1,AJ Finch,51,27,5,3,188.88888888888889,MTC Waller,0,bowled,AJ Finch,2016-07-08,Somerset,Surrey,0,Kennington Oval
1,AJ Finch,7,10,0,0,70.0,DA Griffiths,['K Rabada'],caught,AJ Finch,2016-07-15,Surrey,Kent,0,Nevill Ground
1,AJ Finch,78,61,4,3,127.86885245901641,JK Fuller,['GJ Bailey'],caught,AJ Finch,2016-07-21,Surrey,Middlesex,0,Lord's
1,AJ Finch,13,11,2,0,118.18181818181819,JC Archer,['WAT Beer'],caught,AJ Finch,2016-07-22,Sussex,Surrey,0,Kennington Oval
1,AJ Finch,79,53,5,4,149.0566037735849,ME Claydon,['JL Denly'],caught,AJ Finch,2016-07-29,Kent,Surrey,0,Kennington Oval
6,Azhar Mahmood,42,26,4,2,161.53846153846155,RS Bopara,['Ashar Zaidi'],caught,Azhar Mahmood,2016-05-20,Surrey,Surrey,0,County Ground
6,Azhar Mahmood,0,3,0,0,0.0,CAJ Meschede,0,retired hurt,Azhar Mahmood,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
6,Azhar Mahmood,3,3,0,0,100.0,notOut,notOut,notOut,notOut,2016-07-21,Surrey,Middlesex,0,Lord's
4,BT Foakes,9,13,0,0,69.23076923076923,ST Finn,['EJG Morgan'],caught,BT Foakes,2016-06-17,Middlesex,Surrey,0,Kennington Oval
4,BT Foakes,7,9,0,0,77.77777777777779,CAJ Meschede,['AHT Donald'],run out,BT Foakes,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
9,BT Foakes,7,6,0,0,116.66666666666667,GR Napier,['RS Bopara'],caught,BT Foakes,2016-06-25,Essex,Essex,0,Kennington Oval
8,BT Foakes,5,5,0,0,100.0,AJ Tye,['GH Roderick'],run out,SM Curran,2016-07-06,Surrey,Gloucestershire,0,County Ground
8,BT Foakes,8,5,1,0,160.0,L Gregory,['PD Trego'],caught,BT Foakes,2016-07-08,Somerset,Surrey,0,Kennington Oval
4,BT Foakes,22,16,3,0,137.5,notOut,notOut,notOut,notOut,2016-07-22,Sussex,Surrey,0,Kennington Oval
4,CH Morris,15,12,1,0,125.0,TMJ Smith,['LC Norwell'],caught,CH Morris,2016-07-06,Surrey,Gloucestershire,0,County Ground
5,CH Morris,8,11,0,0,72.72727272727273,J Overton,0,caught and bowled,CH Morris,2016-07-08,Somerset,Surrey,0,Kennington Oval
5,CH Morris,25,16,2,1,156.25,notOut,notOut,notOut,notOut,2016-07-15,Surrey,Kent,0,Nevill Ground
4,CH Morris,25,19,0,2,131.57894736842107,RF Higgins,['JK Fuller'],caught,CH Morris,2016-07-21,Surrey,Middlesex,0,Lord's
5,CH Morris,20,16,1,1,125.0,notOut,notOut,notOut,notOut,2016-07-22,Sussex,Surrey,0,Kennington Oval
2,CH Morris,3,3,0,0,100.0,DA Griffiths,0,bowled,CH Morris,2016-07-29,Kent,Surrey,0,Kennington Oval
3,DJ Bravo,30,15,0,4,200.0,CJ Jordan,['WAT Beer'],caught,DJ Bravo,2016-06-03,Surrey,Surrey,0,County Ground
4,DJ Bravo,15,18,0,1,83.33333333333334,L Gregory,['RE van der Merwe'],caught,DJ Bravo,2016-06-10,Surrey,Somerset,0,County Ground
5,DJ Bravo,7,10,1,0,70.0,OP Rayner,['ST Finn'],caught,DJ Bravo,2016-06-17,Middlesex,Surrey,0,Kennington Oval
5,DJ Bravo,20,16,1,1,125.0,DA Cosker,['CB Cooke'],stumped,DJ Bravo,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
6,DJ Bravo,20,20,0,1,100.0,MR Quinn,['RN ten Doeschate'],caught,DJ Bravo,2016-06-25,Essex,Essex,0,Kennington Oval
3,DJ Bravo,3,7,0,0,42.857142857142854,RA Stevenson,['AJA Wheater'],caught,DJ Bravo,2016-07-01,Hampshire,Surrey,0,Kennington Oval
1,DP Sibley,74,59,6,3,125.42372881355932,notOut,notOut,notOut,notOut,2016-06-10,Surrey,Somerset,0,County Ground
1,DP Sibley,67,49,7,2,136.73469387755102,TL Best,['RA Stevenson'],caught,DP Sibley,2016-07-01,Hampshire,Surrey,0,Kennington Oval
2,DP Sibley,32,37,0,1,86.48648648648648,AJ Tye,['TMJ Smith'],caught,DP Sibley,2016-07-06,Surrey,Gloucestershire,0,County Ground
2,DP Sibley,20,22,1,0,90.9090909090909,JH Davey,['MTC Waller'],caught,DP Sibley,2016-07-08,Somerset,Surrey,0,Kennington Oval
4,DP Sibley,14,16,0,0,87.5,JC Tredwell,['SW Billings'],stumped,DP Sibley,2016-07-15,Surrey,Kent,0,Nevill Ground
2,DP Sibley,40,31,3,1,129.03225806451613,JC Archer,['LJ Wright'],caught,DP Sibley,2016-07-22,Sussex,Surrey,0,Kennington Oval
3,GC Wilson,3,10,0,0,30.0,MW Dixon,['RN ten Doeschate'],caught,GC Wilson,2016-05-20,Surrey,Surrey,0,County Ground
4,GC Wilson,5,11,0,0,45.45454545454545,T van der Gugten,0,bowled,GC Wilson,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
4,GC Wilson,1,1,0,0,100.0,notOut,notOut,notOut,notOut,2016-06-03,Surrey,Surrey,0,County Ground
0,GC Wilson,6,7,1,0,85.71428571428571,T van der Gugten,['CB Cooke'],caught,GC Wilson,2016-06-24,Surrey,Glamorgan,0,Sophia Gardens
0,GC Wilson,17,24,1,0,70.83333333333334,DW Lawrence,['Ashar Zaidi'],run out,KC Sangakkara,2016-06-25,Essex,Essex,0,Kennington Oval
1,GC Wilson,17,24,1,0,70.83333333333334,DW Lawrence,['T Westley'],caught,GC Wilson,2016-06-25,Essex,Essex,0,Kennington Oval
10,GJ Batty,3,5,0,0,60.0,notOut,notOut,notOut,notOut,2016-05-26,Glamorgan,Glamorgan,0,Kennington Oval
