,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
0,NLJ Browne,27,23,1,1,117.3913043478261,AJ Tye,['M Klinger'],run out,RN ten Doeschate,2016-07-17,Essex,Gloucestershire,0,College Ground
1,NLJ Browne,27,23,1,1,117.3913043478261,BAC Howell,['CDJ Dent'],caught,NLJ Browne,2016-07-17,Essex,Gloucestershire,0,College Ground
1,NLJ Browne,1,4,0,0,25.0,TS Mills,['Mustafizur Rahman'],caught,NLJ Browne,2016-07-21,Sussex,Sussex,0,County Ground
1,NLJ Browne,19,16,3,0,118.75,MT Coles,['K Rabada'],caught,NLJ Browne,2016-07-22,Essex,Essex,0,St Lawrence Ground
1,NLJ Browne,15,17,2,0,88.23529411764706,NA Sowter,0,lbw,NLJ Browne,2016-07-28,Essex,Essex,0,Lord's
0,NLJ Browne,22,29,1,0,75.86206896551724,SJ Mullaney,['SJ Mullaney'],run out,JD Ryder,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
1,NLJ Browne,22,29,1,0,75.86206896551724,SR Patel,['JT Ball'],caught,NLJ Browne,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
10,PI Walter,6,6,0,0,100.0,MD Taylor,['BAC Howell'],run out,PI Walter,2016-07-17,Essex,Gloucestershire,0,College Ground
9,PI Walter,1,1,0,0,100.0,notOut,notOut,notOut,notOut,2016-07-21,Sussex,Sussex,0,County Ground
10,PI Walter,8,4,0,1,200.0,HF Gurney,['CMW Read'],caught,PI Walter,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
4,RN ten Doeschate,36,32,4,1,112.5,TK Curran,['KC Sangakkara'],caught,RN ten Doeschate,2016-05-20,Surrey,Surrey,0,County Ground
4,RN ten Doeschate,30,18,3,1,166.66666666666669,notOut,notOut,notOut,notOut,2016-06-01,Essex,Essex,0,Sophia Gardens
4,RN ten Doeschate,47,36,5,1,130.55555555555557,J Overton,['MTC Waller'],caught,RN ten Doeschate,2016-06-03,Essex,Somerset,0,County Ground
5,RN ten Doeschate,58,44,4,2,131.8181818181818,notOut,notOut,notOut,notOut,2016-06-10,Middlesex,Middlesex,0,County Ground
4,RN ten Doeschate,2,4,0,0,50.0,AJ Tye,['CDJ Dent'],run out,RN ten Doeschate,2016-06-16,Gloucestershire,Gloucestershire,0,County Ground
5,RN ten Doeschate,14,16,0,0,87.5,notOut,notOut,notOut,notOut,2016-06-24,Hampshire,Essex,0,County Ground
5,RN ten Doeschate,8,15,0,0,53.333333333333336,GM Andrew,['MA Carberry'],run out,Ashar Zaidi,2016-07-08,Essex,Essex,0,The Rose Bowl
6,RN ten Doeschate,8,15,0,0,53.333333333333336,GM Andrew,['SM Ervine'],caught,RN ten Doeschate,2016-07-08,Essex,Essex,0,The Rose Bowl
5,RN ten Doeschate,1,2,0,0,50.0,notOut,notOut,notOut,notOut,2016-07-17,Essex,Gloucestershire,0,College Ground
5,RN ten Doeschate,26,24,1,2,108.33333333333333,Mustafizur Rahman,['TS Mills'],caught,RN ten Doeschate,2016-07-21,Sussex,Sussex,0,County Ground
7,RN ten Doeschate,4,4,0,0,100.0,notOut,notOut,notOut,notOut,2016-07-28,Essex,Essex,0,Lord's
6,RN ten Doeschate,7,12,0,0,58.333333333333336,SR Patel,0,lbw,RN ten Doeschate,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
0,RS Bopara,1,4,0,0,25.0,SM Curran,['Azhar Mahmood'],caught,RS Bopara,2016-05-20,Surrey,Surrey,0,County Ground
0,RS Bopara,4,7,1,0,57.14285714285714,T van der Gugten,['CB Cooke'],caught,RS Bopara,2016-06-01,Essex,Essex,0,Sophia Gardens
3,RS Bopara,8,15,0,0,53.333333333333336,MTC Waller,['DPMD Jayawardene'],caught,RS Bopara,2016-06-03,Essex,Somerset,0,County Ground
4,RS Bopara,3,3,0,0,100.0,notOut,notOut,notOut,notOut,2016-06-10,Middlesex,Middlesex,0,County Ground
3,RS Bopara,28,25,0,2,112.00000000000001,K Noema-Barnett,0,caught and bowled,RS Bopara,2016-06-16,Gloucestershire,Gloucestershire,0,County Ground
3,RS Bopara,0,2,0,0,0.0,LA Dawson,0,lbw,RS Bopara,2016-06-24,Hampshire,Essex,0,County Ground
3,RS Bopara,36,41,2,0,87.8048780487805,notOut,notOut,notOut,notOut,2016-06-25,Essex,Essex,0,Kennington Oval
3,RS Bopara,81,46,4,6,176.08695652173913,notOut,notOut,notOut,notOut,2016-07-01,Kent,Essex,0,County Ground
4,RS Bopara,17,21,1,0,80.95238095238095,Shahid Afridi,['TP Alsop'],caught,RS Bopara,2016-07-08,Essex,Essex,0,The Rose Bowl
4,RS Bopara,8,8,0,1,100.0,BAC Howell,['LC Norwell'],caught,RS Bopara,2016-07-17,Essex,Gloucestershire,0,College Ground
3,RS Bopara,32,28,2,1,114.28571428571428,Mustafizur Rahman,['LJ Wright'],caught,RS Bopara,2016-07-21,Sussex,Sussex,0,County Ground
3,RS Bopara,51,35,8,0,145.7142857142857,notOut,notOut,notOut,notOut,2016-07-22,Essex,Essex,0,St Lawrence Ground
5,RS Bopara,4,6,0,0,66.66666666666666,notOut,notOut,notOut,notOut,2016-07-28,Essex,Essex,0,Lord's
5,RS Bopara,10,15,0,0,66.66666666666666,Imran Tahir,['MH Wessels'],caught,RS Bopara,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
2,T Westley,46,35,5,1,131.42857142857142,GJ Batty,0,lbw,T Westley,2016-05-20,Surrey,Surrey,0,County Ground
2,T Westley,41,29,6,0,141.3793103448276,CA Ingram,0,bowled,T Westley,2016-06-01,Essex,Essex,0,Sophia Gardens
2,T Westley,40,26,7,0,153.84615384615387,L Gregory,0,caught and bowled,T Westley,2016-06-03,Essex,Somerset,0,County Ground
3,T Westley,4,6,0,0,66.66666666666666,MJ McClenaghan,['BB McCullum'],caught,T Westley,2016-06-10,Middlesex,Middlesex,0,County Ground
1,T Westley,45,36,5,1,125.0,BAC Howell,0,bowled,T Westley,2016-06-16,Gloucestershire,Gloucestershire,0,County Ground
2,T Westley,27,32,3,0,84.375,LA Dawson,0,lbw,T Westley,2016-06-24,Hampshire,Essex,0,County Ground
2,T Westley,19,16,4,0,118.75,DJ Bravo,0,lbw,T Westley,2016-06-25,Essex,Essex,0,Kennington Oval
1,T Westley,33,32,4,0,103.125,JC Tredwell,0,caught and bowled,T Westley,2016-07-01,Kent,Essex,0,County Ground
2,T Westley,33,19,6,0,173.6842105263158,LA Dawson,['MA Carberry'],caught,T Westley,2016-07-08,Essex,Essex,0,The Rose Bowl
3,T Westley,4,8,0,0,50.0,MD Taylor,['GL van Buuren'],caught,T Westley,2016-07-17,Essex,Gloucestershire,0,College Ground
2,T Westley,23,19,4,0,121.05263157894737,JC Archer,0,lbw,T Westley,2016-07-21,Sussex,Sussex,0,County Ground
2,T Westley,74,50,8,1,148.0,notOut,notOut,notOut,notOut,2016-07-22,Essex,Essex,0,St Lawrence Ground
2,T Westley,6,6,1,0,100.0,TS Roland-Jones,['NRT Gubbins'],caught,T Westley,2016-07-28,Essex,Essex,0,Lord's
3,T Westley,8,10,0,0,80.0,SR Patel,0,bowled,T Westley,2016-08-08,Essex,Nottinghamshire,0,Trent Bridge
8,Wahab Riaz,1,3,0,0,33.33333333333333,notOut,notOut,notOut,notOut,2016-05-20,Surrey,Surrey,0,County Ground
7,Wahab Riaz,9,3,0,1,300.0,notOut,notOut,notOut,notOut,2016-06-03,Essex,Somerset,0,County Ground
10,Wahab Riaz,1,2,0,0,50.0,notOut,notOut,notOut,notOut,2016-06-10,Middlesex,Middlesex,0,County Ground
8,Wahab Riaz,14,10,0,1,140.0,notOut,notOut,notOut,notOut,2016-06-16,Gloucestershire,Gloucestershire,0,County Ground
